,qpe.csv,lmms.csv,openmeetings.csv,rsyslog.csv,grafx2.csv,yale.csv,sylpheed-claws.csv,openxava.csv,pgui.csv,lufa-lib.csv,netatalk.csv,xqilla.csv,bibletime.csv,keyczar.csv,quickfast.csv
bibletime.csv,0.57,0.6,0.4,0.51,0.79,0.67,0.73,0.99,0.86,0.68,0.74,0.96,0.07,0.59,0.59
grafx2.csv,0.53,0.57,0.42,0.74,0.04,0.62,0.61,0.6,0.54,0.56,0.49,0.75,0.47,0.77,0.53
keyczar.csv,0.96,0.8,0.73,0.7,0.93,0.94,0.83,0.94,0.93,0.82,0.75,0.48,0.85,0.07,0.83
lmms.csv,0.56,0.01,0.38,0.59,0.66,0.51,0.97,0.43,0.71,0.77,0.7,0.95,0.63,0.55,0.7
lufa-lib.csv,0.67,0.71,0.75,0.86,0.9,0.73,0.67,0.71,0.68,0.02,0.69,0.69,0.7,0.68,0.61
netatalk.csv,0.46,0.67,0.41,0.66,0.55,0.66,0.66,0.61,0.42,0.73,0.0,0.69,0.62,0.89,0.68
openmeetings.csv,0.52,0.74,0.0,0.48,0.6,0.77,0.79,0.44,0.61,0.64,0.73,1.03,0.67,0.88,0.75
openxava.csv,0.65,0.67,0.72,0.74,0.65,0.74,0.57,0.0,0.7,0.86,0.49,0.43,0.76,0.72,0.69
pgui.csv,0.74,0.87,0.66,0.74,0.79,0.84,0.79,0.88,0.09,0.76,1.0,1.0,0.71,0.9,0.91
qpe.csv,0.18,0.92,0.85,1.07,0.86,0.92,0.93,0.94,0.82,0.91,0.67,0.5,0.84,0.78,0.83
quickfast.csv,0.69,0.76,0.51,0.92,0.9,0.64,0.95,0.88,0.96,0.98,0.92,0.85,0.74,0.65,0.02
rsyslog.csv,0.5,0.6,0.36,0.04,0.32,0.56,0.58,0.53,0.64,0.99,0.45,0.53,0.58,0.96,0.66
sylpheed-claws.csv,0.54,0.6,0.57,0.54,0.59,0.65,0.03,0.84,0.62,0.64,0.49,0.71,0.57,0.67,0.58
xqilla.csv,1.0,0.99,0.91,0.96,0.88,0.99,0.93,1.0,0.98,1.0,0.79,0.0,0.98,0.98,0.96
yale.csv,0.93,0.82,0.92,0.81,0.8,0.1,0.74,0.51,0.88,0.87,0.83,0.94,0.97,0.93,0.68
