,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.38,0.19,0.0,0.68,0.42,0.16,0.2,0.41,0.3,0.41
arsenal-1.csv,0.73,0.14,0.67,0.08,0.06,0.08,0.14,0.11,0.13,0.11
barracudamvc.csv,0.84,0.59,0.64,0.54,0.44,0.87,0.54,0.41,0.85,0.77
irplus.csv,0.83,0.56,0.07,0.63,0.53,0.54,0.52,0.51,0.68,0.66
lite.csv,0.64,0.38,0.57,0.07,0.31,0.42,0.42,0.63,0.36,0.32
mumble.csv,0.7,0.59,0.44,0.26,0.67,0.85,0.36,0.37,0.42,0.79
ontopia.csv,0.3,0.58,0.46,0.52,0.51,0.86,0.42,0.41,0.79,0.79
openintents.csv,0.63,0.58,0.58,0.66,0.27,0.47,0.55,0.5,0.51,0.63
ta3d.csv,0.51,0.31,0.62,0.08,0.15,0.45,0.35,0.17,0.13,0.62
tweetsharp.csv,0.59,0.57,0.64,0.55,0.54,0.66,0.39,0.39,0.86,0.62
