,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.7,0.89,0.0,0.44,0.77,0.9,0.8,0.47,0.73,0.43
arsenal-1.csv,0.38,0.8,0.54,0.5,0.86,0.75,0.75,0.67,0.67,0.5
barracudamvc.csv,0.41,0.29,0.36,0.35,0.4,0.37,0.33,0.36,0.4,0.44
irplus.csv,0.34,0.32,0.0,0.38,0.35,0.42,0.48,0.5,0.32,0.31
lite.csv,0.42,0.41,0.36,0.8,0.85,0.57,0.56,0.57,0.69,0.89
mumble.csv,0.45,0.29,0.46,0.89,0.52,0.39,0.43,0.57,0.55,0.37
ontopia.csv,0.81,0.3,0.43,0.39,0.39,0.44,0.57,0.31,0.36,0.35
openintents.csv,0.45,0.44,0.35,0.31,0.83,0.6,0.35,0.35,0.54,0.56
ta3d.csv,0.55,0.69,0.4,0.5,0.96,0.52,0.73,0.89,0.75,0.62
tweetsharp.csv,0.63,0.47,0.44,0.36,0.43,0.7,0.56,0.35,0.49,0.52
