,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.1,0.18,0.0,0.29,0.08,0.21,0.05,0.29,0.2,0.25
arsenal-1.csv,0.85,0.09,0.23,0.03,0.09,0.07,0.05,0.05,0.0,0.0
barracudamvc.csv,0.3,0.88,1.0,0.97,0.97,0.79,0.95,0.95,0.93,1.0
irplus.csv,0.55,0.7,0.0,0.48,0.48,0.79,0.27,0.34,0.53,0.5
lite.csv,0.75,0.58,0.52,0.13,0.28,0.43,0.2,0.27,0.2,0.12
mumble.csv,0.45,0.91,0.74,0.16,0.17,0.57,0.68,0.39,0.47,0.56
ontopia.csv,0.35,0.88,0.32,0.68,0.62,0.21,0.3,0.85,0.6,0.75
openintents.csv,0.4,0.33,0.94,0.68,0.42,0.36,0.75,0.59,0.67,0.38
ta3d.csv,0.75,0.3,0.9,0.03,0.35,0.5,0.18,0.17,0.07,0.44
tweetsharp.csv,0.3,0.45,0.77,0.84,0.45,0.14,0.55,0.93,0.2,0.56
