,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,mumble.csv,ontopia.csv,irplus.csv,lite.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.28,0.16,0.0,0.73,0.37,0.11,0.15,0.5,0.22,0.33
arsenal-1.csv,0.4,0.11,0.65,0.06,0.05,0.05,0.1,0.09,0.09,0.07
barracudamvc.csv,0.75,0.4,0.0,0.13,0.13,0.54,0.21,0.21,0.27,0.0
irplus.csv,0.68,0.59,0.05,0.7,0.72,0.35,0.55,0.67,0.58,0.58
lite.csv,0.44,0.43,0.59,0.06,0.36,0.32,0.4,0.78,0.28,0.24
mumble.csv,0.58,0.33,0.43,0.21,0.74,0.69,0.44,0.49,0.34,0.71
ontopia.csv,0.22,0.39,0.45,0.56,0.7,0.78,0.44,0.44,0.66,0.59
openintents.csv,0.52,0.62,0.23,0.68,0.35,0.37,0.59,0.71,0.41,0.55
ta3d.csv,0.35,0.3,0.35,0.06,0.19,0.34,0.32,0.16,0.09,0.54
tweetsharp.csv,0.48,0.63,0.57,0.45,0.73,0.55,0.47,0.26,0.81,0.54
