,jython.csv,jitterbit.csv,gzigzag.csv,blue-c.csv,jguard.csv,unbvision.csv,ppcboot.csv,repositorium.csv,personalaccess.csv,xbg.csv,gdis.csv,wxstudio.csv,icescrum.csv,elateportal.csv
blue-c.csv,0.25,0.57,0.49,0.46,0.65,0.53,0.82,0.56,0.42,0.51,0.45,0.58,0.45,0.67
elateportal.csv,0.28,0.45,0.46,0.39,0.38,0.86,0.79,0.43,0.75,0.42,0.47,0.54,0.34,0.31
gdis.csv,0.95,0.58,0.44,0.4,0.6,0.48,0.8,0.63,0.53,0.64,0.35,0.53,0.55,0.8
gzigzag.csv,0.95,0.76,0.51,0.6,0.57,0.63,0.94,0.5,0.56,0.69,0.73,0.92,0.33,0.58
icescrum.csv,0.96,0.49,0.48,0.47,0.4,0.55,0.74,0.42,0.67,0.44,0.35,0.6,0.48,0.8
jguard.csv,0.26,0.4,0.4,0.42,0.67,0.5,0.57,0.43,0.41,0.41,0.36,0.57,0.32,0.3
jitterbit.csv,0.97,0.62,0.52,0.44,0.47,0.61,0.66,0.88,0.43,0.45,0.46,0.75,0.37,0.75
jython.csv,0.97,0.45,0.65,0.47,0.74,0.47,0.89,0.44,0.67,0.47,0.89,0.51,0.86,0.8
personalaccess.csv,0.23,0.48,0.39,0.47,0.35,0.51,0.39,0.71,0.35,0.5,0.56,0.48,0.35,0.5
ppcboot.csv,0.9,0.4,0.39,0.4,0.52,0.5,0.84,0.51,0.41,0.48,0.45,0.55,0.34,0.37
repositorium.csv,0.9,0.85,0.91,0.75,0.71,0.94,0.67,0.57,0.0,0.47,0.89,0.73,0.87,0.5
unbvision.csv,0.95,0.5,0.89,0.78,0.53,0.55,0.79,0.41,0.53,0.8,0.91,0.6,0.0,0.5
wxstudio.csv,0.28,0.52,0.83,0.62,0.55,0.8,0.61,0.58,0.62,0.67,0.65,0.5,0.56,0.3
xbg.csv,0.91,0.99,0.94,0.67,0.91,0.97,0.97,0.5,0.67,0.62,0.67,0.91,0.8,0.5
