,pidgin.csv,gnukeda.csv,unimrcp.csv,emulemorph.csv,fceugc.csv,ogre.csv,micomt.csv,gusanos.csv,repositorium.csv,modplug.csv,openfrag.csv,auber.csv,xqilla.csv,xapian.csv,oscarmcmaster.csv
auber.csv,197.5,97.5,189.0,1565.0,286.5,198.0,1212.0,585.5,98.5,98.5,1878.0,99.0,3738.0,289.5,197.5
emulemorph.csv,92.5,94.5,381.0,972.0,59.0,94.5,61.5,0.0,0.0,91.5,466.0,93.5,284.5,0.0,85.5
fceugc.csv,196.5,97.5,0.0,1812.5,93.5,157.0,433.0,94.5,95.5,91.5,521.0,92.5,912.0,387.0,192.0
gnukeda.csv,94.5,97.5,675.0,2787.5,279.5,98.5,2589.5,93.5,197.5,96.5,1696.0,99.0,2511.5,289.5,98.5
gusanos.csv,84.5,94.5,285.5,1615.5,187.0,198.0,1680.0,94.5,84.5,94.5,77.5,99.0,2821.5,193.0,584.5
micomt.csv,197.5,97.5,485.0,2127.5,286.5,198.0,283.0,585.5,98.5,98.5,1266.5,99.0,4311.0,388.0,197.5
modplug.csv,395.0,97.5,385.5,2936.0,286.5,198.0,1581.0,191.0,98.5,98.5,1074.5,99.0,2812.5,291.5,197.5
ogre.csv,296.0,97.5,974.0,1696.5,286.5,99.0,1477.5,193.5,197.5,98.5,1874.0,99.0,1585.5,388.0,98.5
openfrag.csv,395.0,97.5,354.0,3051.0,93.5,198.0,630.0,388.0,98.5,96.5,77.5,99.0,4068.5,192.0,678.0
oscarmcmaster.csv,197.5,97.5,369.0,3252.5,326.5,93.5,1325.5,94.5,98.5,85.5,1136.5,99.0,1694.5,193.0,287.0
pidgin.csv,197.5,347.0,93.5,582.5,126.0,198.0,1261.0,94.5,98.5,94.5,410.5,99.0,2450.5,94.5,674.0
repositorium.csv,0.0,172.0,111.0,697.5,286.5,97.5,765.5,768.5,95.5,98.5,1955.5,186.0,1607.0,192.0,98.5
unimrcp.csv,85.5,94.5,93.5,1172.5,168.0,98.5,433.0,286.5,94.5,98.5,73.5,99.0,2407.0,184.0,197.5
xapian.csv,395.0,97.5,1244.0,2369.0,191.0,197.5,114.0,193.5,197.5,98.5,1199.0,99.0,4311.0,193.0,98.5
xqilla.csv,97.5,94.5,184.0,2937.5,280.5,97.5,2738.5,186.0,95.5,96.5,242.5,84.5,68.5,1530.0,471.5
