,wgs-assembler.csv,nh3d.csv,jvcl.csv,blogentis.csv,m-m-m.csv,htmlunit.csv,emulemorph.csv
blogentis.csv,0.56,0.5,0.38,0.92,0.25,0.64,0.17
emulemorph.csv,0.0,0.0,0.0,0.12,0.27,0.01,1.0
htmlunit.csv,0.51,0.5,0.81,0.42,0.18,0.94,0.17
jvcl.csv,0.15,0.25,0.81,0.08,0.0,0.13,0.0
m-m-m.csv,0.51,1.0,1.0,0.92,1.0,0.89,1.0
nh3d.csv,0.0,1.0,0.44,0.25,0.0,0.26,0.5
wgs-assembler.csv,0.95,0.5,0.12,0.42,0.0,0.09,0.0
