,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.38,0.37,0.82,0.54,0.38,0.42,0.24,0.0,0.67,0.53,0.51,0.55,0.0,0.55,0.55
glelite.csv,0.54,0.63,0.13,0.09,0.13,0.24,0.13,0.3,0.43,0.72,0.42,0.21,0.97,0.3,0.6
hannosset.csv,0.11,0.05,0.24,0.7,0.05,0.13,0.0,0.0,0.26,0.02,0.94,0.0,0.0,0.18,0.0
ipfilter.csv,0.31,0.49,0.37,0.38,0.33,0.13,0.56,0.13,0.58,0.67,0.51,0.96,0.0,0.39,0.62
moving-pictures.csv,0.21,0.63,0.0,0.96,0.38,0.72,0.66,0.0,0.43,0.5,0.72,0.55,0.32,0.63,0.75
pclasses.csv,0.96,0.57,0.0,0.0,0.56,0.09,0.42,0.0,0.64,0.36,0.2,0.09,0.09,0.33,0.56
pfaedit.csv,0.11,0.59,0.0,0.64,0.69,0.8,0.21,0.0,0.36,0.36,0.48,0.09,0.38,0.33,0.46
qcad2.csv,0.11,0.34,0.34,0.37,0.77,0.71,0.21,0.0,0.53,0.42,0.52,0.18,0.74,0.56,0.19
rockbox.csv,0.48,0.71,0.0,0.88,0.52,0.72,0.33,0.0,0.38,0.27,0.53,0.26,0.28,0.33,0.74
roller.csv,0.6,0.56,0.13,0.3,0.57,0.7,0.54,0.54,0.71,0.59,0.17,0.55,0.0,0.57,0.7
theresa.csv,0.21,0.64,0.12,0.93,0.29,0.72,0.44,0.0,0.51,0.07,0.2,0.48,0.26,0.54,0.37
tzod.csv,0.53,0.6,0.42,0.9,0.53,0.61,0.09,0.0,0.61,0.5,0.2,0.65,0.5,0.55,0.3
xinity.csv,0.55,0.48,0.0,0.0,0.39,0.41,0.39,0.0,0.22,0.63,0.2,0.56,0.0,0.69,0.22
zabbix.csv,0.31,0.6,0.67,0.7,0.67,0.36,0.21,0.0,0.55,0.47,0.49,0.4,0.55,0.44,0.4
