,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,qcad2.csv,pfaedit.csv,moving-pictures.csv,elynx.csv,roller.csv,zabbix.csv,hannosset.csv,ipfilter.csv,glelite.csv,xinity.csv,rockbox.csv
atlc.csv,0.18,0.36,0.84,0.1,0.51,0.48,0.28,0.0,0.7,0.55,0.15,0.63,0.92,0.73,0.52
glelite.csv,0.29,0.53,0.73,0.11,0.51,0.75,0.59,0.04,0.71,0.64,0.12,0.83,0.98,0.75,0.55
hannosset.csv,0.11,0.06,0.3,0.36,0.08,0.18,0.0,0.0,0.31,0.02,0.41,0.0,0.36,0.23,0.0
ipfilter.csv,0.25,0.4,0.57,0.08,0.51,0.72,0.63,0.03,0.67,0.6,0.15,0.97,0.93,0.72,0.58
moving-pictures.csv,0.2,0.53,0.0,0.4,0.44,0.78,0.67,0.0,0.47,0.49,0.21,0.63,0.42,0.71,0.72
pclasses.csv,0.71,0.5,0.0,0.0,0.44,0.12,0.44,0.0,0.68,0.39,0.05,0.11,0.12,0.39,0.5
pfaedit.csv,0.1,0.55,0.0,0.15,0.57,0.83,0.29,0.0,0.41,0.43,0.12,0.12,0.5,0.41,0.48
qcad2.csv,0.11,0.38,0.43,0.11,0.65,0.74,0.27,0.0,0.57,0.52,0.18,0.26,0.82,0.61,0.23
rockbox.csv,0.3,0.6,0.0,0.23,0.51,0.76,0.4,0.0,0.42,0.23,0.14,0.34,0.39,0.39,0.67
roller.csv,0.3,0.57,0.73,0.12,0.53,0.78,0.61,0.04,0.75,0.54,0.15,0.63,0.88,0.67,0.59
theresa.csv,0.15,0.59,0.18,0.32,0.33,0.75,0.52,0.0,0.56,0.12,0.05,0.56,0.36,0.61,0.44
tzod.csv,0.25,0.54,0.68,0.25,0.42,0.65,0.13,0.0,0.72,0.55,0.05,0.76,0.61,0.64,0.29
xinity.csv,0.26,0.39,0.73,0.0,0.29,0.49,0.57,0.0,0.28,0.58,0.09,0.66,0.81,0.73,0.42
zabbix.csv,0.19,0.52,0.7,0.31,0.55,0.42,0.26,0.0,0.59,0.53,0.13,0.48,0.66,0.61,0.36
