,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.5,0.75,0.62,0.73,0.54,0.73,0.5,0.81,0.81,0.51,0.64
biopax.csv,0.13,0.3,0.0,0.59,0.61,0.45,0.21,0.21,0.82,0.0,0.0
crux-framework.csv,0.19,0.34,0.15,0.04,0.54,0.23,0.04,0.25,0.09,0.97,0.09
kml.csv,0.49,0.09,0.09,0.7,0.76,0.64,0.33,0.38,0.0,0.0,0.0
les-indemodables.csv,0.65,0.62,0.6,0.67,0.73,0.64,0.7,0.52,0.64,0.62,0.69
metacosm.csv,0.66,0.41,0.6,0.6,0.55,0.51,0.62,0.71,0.66,0.67,0.75
moviesandbox.csv,0.7,0.44,0.27,0.7,0.17,0.79,0.49,0.75,0.75,0.59,0.65
sigil.csv,0.72,0.57,0.5,0.73,0.07,0.84,0.66,0.59,0.43,0.63,0.63
unflobtactical.csv,0.72,0.37,0.51,0.74,0.1,0.86,0.24,0.76,0.73,0.36,0.58
xtreemfs.csv,0.75,0.73,0.54,0.75,0.7,0.84,0.66,0.83,0.5,0.73,0.65
yale.csv,0.48,0.31,0.52,0.36,0.67,0.61,0.44,0.25,0.53,0.69,0.37
