,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.6,0.72,0.21,0.76,0.72,0.68,0.38,0.93,0.9,0.03,0.52
biopax.csv,0.55,0.53,0.15,0.63,0.53,0.62,0.37,0.85,1.0,0.03,0.47
crux-framework.csv,0.58,0.5,0.17,0.5,0.47,0.77,0.12,0.92,0.71,0.19,0.29
kml.csv,0.58,0.53,0.15,0.66,0.79,0.65,0.39,0.85,0.78,0.03,0.46
les-indemodables.csv,0.65,0.59,0.17,0.74,0.6,0.75,0.68,0.83,0.82,0.04,0.63
metacosm.csv,0.71,0.89,0.19,0.77,0.78,0.92,0.47,0.89,0.92,0.06,0.74
moviesandbox.csv,0.7,0.85,0.14,0.74,0.5,0.73,0.39,0.91,0.9,0.03,0.52
sigil.csv,0.67,0.92,0.23,0.86,1.0,0.85,0.47,0.98,0.96,0.04,0.52
unflobtactical.csv,0.66,0.78,0.14,0.79,0.75,0.82,0.38,0.91,0.87,0.03,0.5
xtreemfs.csv,0.67,0.64,0.24,0.81,0.83,0.85,0.43,0.95,0.97,0.04,0.58
yale.csv,0.52,0.57,0.24,0.52,0.56,0.62,0.29,0.74,0.79,0.07,0.53
