,moviesandbox.csv,arcallians.csv,yale.csv,unflobtactical.csv,kml.csv,sigil.csv,les-indemodables.csv,xtreemfs.csv,biopax.csv,crux-framework.csv,metacosm.csv
arcallians.csv,0.98,0.77,0.63,0.74,0.5,1.0,0.89,0.85,0.86,1.0,0.85
biopax.csv,0.95,0.95,0.99,0.97,0.86,1.0,1.0,0.99,0.79,1.0,1.0
crux-framework.csv,0.16,0.3,0.12,0.03,0.61,0.19,0.03,0.21,0.07,1.0,0.07
kml.csv,0.91,1.0,0.97,0.89,0.75,0.98,1.0,0.96,1.0,1.0,0.96
les-indemodables.csv,0.7,0.66,0.83,0.66,0.86,0.63,0.68,0.6,0.72,1.0,0.7
metacosm.csv,0.66,0.36,0.63,0.57,0.5,0.46,0.62,0.83,0.63,0.67,0.74
moviesandbox.csv,0.73,0.39,0.23,0.71,0.14,0.9,0.92,0.81,0.76,0.67,0.78
sigil.csv,0.82,0.52,0.46,0.71,0.06,0.85,0.7,0.54,0.38,0.67,0.89
unflobtactical.csv,0.86,0.32,0.66,0.74,0.08,0.9,1.0,0.85,0.77,1.0,0.63
xtreemfs.csv,0.89,0.84,0.51,0.74,0.67,0.85,0.78,0.84,0.45,1.0,0.67
yale.csv,0.5,0.27,0.49,0.71,0.83,0.75,0.46,0.22,0.54,0.67,0.33
