,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,openefm.csv
ambulant.csv,0.68,0.62,0.49,0.83,,0.7
ingex.csv,0.52,0.06,0.45,,0.41,0.48
jgnash.csv,,0.38,0.17,0.69,0.41,0.09
mp-rechnungs-und-kundenverwaltung.csv,0.16,0.19,,0.59,0.29,0.45
openefm.csv,0.48,0.12,0.34,0.41,0.34,
yarp0.csv,0.0,,0.74,0.69,0.29,0.45
