,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,openefm.csv
ambulant.csv,0.13,0.3,0.27,0.4,,0.31
ingex.csv,0.11,0.5,0.27,,0.41,0.24
jgnash.csv,,0.46,0.8,0.48,0.63,0.5
mp-rechnungs-und-kundenverwaltung.csv,0.24,0.5,,0.5,0.71,0.44
openefm.csv,0.23,0.33,0.33,0.48,0.5,
yarp0.csv,0.0,,0.36,0.44,0.35,0.33
