,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,openefm.csv
ambulant.csv,0.39,0.35,0.32,0.29,,0.35
ingex.csv,0.38,0.35,0.32,,0.19,0.34
jgnash.csv,,0.13,0.29,0.18,0.12,0.3
mp-rechnungs-und-kundenverwaltung.csv,0.27,0.26,,0.16,0.1,0.19
openefm.csv,0.24,0.24,0.23,0.18,0.13,
yarp0.csv,0.38,,0.23,0.2,0.19,0.23
