,jgnash.csv,yarp0.csv,mp-rechnungs-und-kundenverwaltung.csv,ingex.csv,ambulant.csv,openefm.csv
ambulant.csv,60.0,2.0,0.0,2.0,,1.0
ingex.csv,55.0,0.0,0.0,,0.0,1.0
jgnash.csv,,3.0,0.0,0.0,1.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,7.0,2.0,,6.0,1.0,1.0
openefm.csv,22.0,4.0,1.0,0.0,2.0,
yarp0.csv,169.0,,1.0,0.0,0.0,1.0
