,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,481.0,83.5,1049.5,98.5,294.0,191.0,193.0,98.5,1263.0,1636.0,295.0,661.5,96.5,994.0,99.0,451.5,197.5,84.5
buddata-ebxml-registry.csv,99.0,476.5,1519.0,98.5,981.0,98.5,98.5,98.5,2756.0,2789.0,295.0,759.0,195.0,2077.0,99.0,97.5,197.5,98.5
co-ode-owl-plugins.csv,99.0,98.5,727.0,98.5,685.5,98.5,95.5,98.5,192.5,305.5,196.0,857.5,94.5,543.5,98.5,83.5,89.5,98.5
firebreath.csv,181.0,91.5,526.0,98.5,1132.5,98.5,98.5,98.5,477.5,1524.5,97.5,464.5,195.0,1332.5,98.5,97.5,98.5,98.5
gretl.csv,99.0,98.5,757.5,98.5,1372.5,98.5,95.5,98.5,1178.5,2051.5,196.0,661.5,94.5,1001.5,98.5,97.5,196.5,98.5
konversation.csv,86.5,187.0,174.0,98.5,879.0,98.5,98.5,98.5,629.0,987.5,97.5,1017.5,96.5,906.5,98.5,97.5,95.5,190.0
lazarus-ccr.csv,99.0,380.0,1519.0,459.5,6604.0,189.0,98.5,98.5,1715.5,495.5,196.0,742.0,96.5,1828.5,99.0,97.5,197.5,98.5
linuxsh.csv,99.0,98.5,673.0,98.5,488.0,98.5,95.5,98.5,121.5,508.5,196.0,1008.5,176.0,99.0,98.5,265.5,89.5,98.5
migen.csv,181.0,91.5,526.0,98.5,491.0,98.5,94.5,98.5,0.0,1162.0,97.5,914.0,176.0,418.5,98.5,85.5,97.5,95.5
moviesandbox.csv,99.0,98.5,359.0,98.5,976.5,98.5,194.5,98.5,573.0,860.0,196.5,1195.5,96.5,136.0,94.5,97.5,89.5,98.5
mvnforum.csv,0.0,83.5,1425.5,272.5,3481.0,189.0,176.0,98.5,203.0,343.5,848.0,967.5,81.5,1019.5,99.0,355.0,194.5,167.0
ontomorphtab.csv,86.5,98.5,1420.5,98.5,1274.0,98.5,98.5,98.5,2175.0,2364.0,196.0,476.5,94.5,1668.0,98.5,97.5,197.5,98.5
opengs.csv,86.5,83.5,1164.0,98.5,731.5,98.5,344.0,98.5,68.0,43.5,97.5,910.0,96.5,0.0,98.5,97.5,95.5,98.5
plplot.csv,99.0,98.5,1427.5,98.5,1373.0,98.5,193.0,98.5,1392.0,1865.5,196.0,763.0,195.0,1274.5,99.0,97.5,197.5,98.5
scite-ru.csv,99.0,98.5,788.5,98.5,1469.0,98.5,197.5,98.5,467.5,2481.5,97.5,764.0,193.0,1585.0,98.5,97.5,97.5,98.5
tokratan.csv,187.0,89.5,163.0,98.5,357.0,98.5,94.5,98.5,9.5,43.5,97.5,188.0,94.5,526.0,98.5,97.5,97.5,98.5
vrjuggler.csv,99.0,86.5,0.0,378.0,42.5,80.5,95.5,38.5,283.5,296.0,40.5,329.0,485.0,1074.0,52.5,79.0,81.5,92.5
xuggle.csv,99.0,98.5,1330.0,98.5,511.0,98.5,192.0,98.5,1045.0,1216.5,97.5,378.0,94.5,945.0,99.0,97.5,98.5,98.5
