,lazarus-ccr.csv,ontomorphtab.csv,linuxsh.csv,konversation.csv,xuggle.csv,moviesandbox.csv,migen.csv,firebreath.csv,scite-ru.csv,co-ode-owl-plugins.csv,opengs.csv,tokratan.csv,mvnforum.csv,vrjuggler.csv,gretl.csv,plplot.csv,alleg.csv,buddata-ebxml-registry.csv
alleg.csv,0.41,0.77,0.52,0.87,0.47,0.47,0.58,0.65,0.62,0.44,0.35,0.45,0.77,0.42,0.35,0.77,0.53,0.57
buddata-ebxml-registry.csv,0.34,0.41,0.44,0.43,0.56,0.4,0.32,0.41,0.34,0.38,0.36,0.42,0.31,0.38,0.45,0.51,0.45,0.34
co-ode-owl-plugins.csv,0.5,0.45,0.67,0.55,0.59,0.4,0.45,0.53,0.86,0.96,0.4,0.42,0.38,0.91,0.65,0.95,0.68,0.4
firebreath.csv,0.67,0.43,0.5,0.47,0.69,0.37,0.4,0.51,0.85,0.51,0.38,0.49,0.32,0.45,0.39,0.5,0.43,0.5
gretl.csv,0.35,0.41,0.47,0.45,0.59,0.4,0.38,0.51,0.72,0.45,0.41,0.42,0.39,0.63,0.42,0.46,0.48,0.41
konversation.csv,0.75,0.57,0.88,0.54,0.85,0.63,0.48,0.5,0.93,0.96,0.94,0.49,0.46,0.77,0.64,0.72,0.69,0.93
lazarus-ccr.csv,0.5,0.46,0.44,0.62,0.52,0.63,0.43,0.54,0.52,0.72,0.79,0.48,0.36,0.48,0.44,0.64,0.45,0.41
linuxsh.csv,0.47,0.71,0.64,0.83,0.97,0.39,0.72,0.85,0.67,0.91,0.37,0.5,0.85,0.0,0.96,0.88,0.87,0.45
migen.csv,0.42,0.6,0.56,0.54,0.69,0.39,0.42,0.63,0.0,0.65,0.57,0.46,0.6,0.9,0.4,0.69,0.66,0.58
moviesandbox.csv,0.64,0.52,0.94,0.54,0.79,0.41,0.61,0.56,0.9,0.97,0.65,0.49,0.46,0.75,0.95,0.73,0.97,0.42
mvnforum.csv,0.0,0.85,0.59,0.94,0.78,0.6,0.95,0.93,0.75,0.95,0.69,0.91,0.58,0.81,0.83,0.66,0.67,0.72
ontomorphtab.csv,0.41,0.41,0.44,0.41,0.48,0.43,0.33,0.41,0.35,0.38,0.36,0.46,0.48,0.46,0.41,0.41,0.41,0.37
opengs.csv,0.75,0.88,0.53,0.59,0.62,0.39,0.54,0.53,0.75,0.75,0.57,0.58,0.41,0.0,0.49,0.65,0.58,0.75
plplot.csv,0.35,0.47,0.46,0.44,0.5,0.38,0.39,0.46,0.44,0.39,0.37,0.48,0.36,0.56,0.44,0.54,0.44,0.5
scite-ru.csv,0.36,0.45,0.41,0.52,0.54,0.39,0.43,0.47,0.67,0.49,0.43,0.42,0.35,0.4,0.45,0.59,0.53,0.46
tokratan.csv,0.71,0.6,0.59,0.65,0.74,0.37,0.43,0.68,0.5,0.67,0.86,0.72,0.38,0.81,0.42,0.57,0.5,0.59
vrjuggler.csv,0.92,0.91,0.0,0.83,0.0,0.67,0.83,0.0,0.83,0.88,0.0,0.83,0.92,0.59,0.0,0.5,0.67,0.92
xuggle.csv,0.4,0.52,0.39,0.57,0.59,0.37,0.4,0.43,0.39,0.5,0.46,0.57,0.32,0.54,0.43,0.51,0.38,0.42
