,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.44,0.5,0.72,0.61,0.48,0.67,0.54,0.39,0.97,0.73,0.62,0.5,0.66,0.06,0.31,0.42,0.48
dynalloy.csv,0.77,0.48,0.0,0.97,0.87,0.91,0.92,0.45,0.86,0.55,0.9,0.46,0.82,0.82,0.95,0.59,0.87
enzo.csv,0.7,0.64,0.79,0.94,0.71,0.49,0.64,0.51,1.04,0.75,0.67,0.06,0.76,0.67,0.71,0.52,0.59
hydrogen.csv,0.69,0.64,0.94,0.61,0.69,1.0,0.75,0.0,0.97,0.93,0.55,0.82,0.82,0.64,0.34,0.7,0.49
jcae.csv,1.0,0.67,0.9,0.0,0.94,0.95,0.87,0.56,1.0,0.91,0.95,0.98,0.86,0.86,0.64,0.98,0.91
kmatplot.csv,0.58,0.03,0.88,0.94,0.45,0.9,0.77,0.59,0.92,0.97,0.6,0.83,0.64,0.83,0.61,0.69,0.69
lphant.csv,0.67,0.59,0.71,0.65,0.64,0.92,0.49,0.77,0.61,0.6,0.85,0.91,0.0,0.59,0.62,0.8,0.65
natpad.csv,0.52,0.46,0.65,0.54,0.89,0.76,0.73,0.53,0.69,0.84,0.64,0.92,0.68,0.76,0.54,0.84,0.07
nosleepsoftware.csv,0.78,0.86,1.0,0.63,0.25,1.0,0.97,0.94,0.96,1.01,0.6,0.82,1.0,0.73,0.52,0.67,0.74
ossbuild.csv,0.77,0.65,0.67,0.45,0.94,0.92,0.51,0.62,0.25,0.45,0.58,0.85,0.53,0.62,0.47,0.82,0.61
quarkplayer.csv,0.84,0.75,0.98,1.0,0.42,0.95,0.9,0.89,1.0,0.18,0.67,0.69,0.83,0.91,0.79,0.83,0.99
quickfast.csv,0.78,0.78,0.86,0.68,0.52,0.95,0.61,0.59,0.9,0.85,0.58,0.42,0.55,0.58,0.6,0.04,0.91
rezilla.csv,0.84,0.55,0.89,0.96,0.73,0.0,0.51,0.64,0.89,0.76,0.82,0.83,0.53,0.68,0.87,0.44,0.72
rhex.csv,0.08,0.63,0.91,0.78,0.88,1.0,0.87,0.56,0.95,0.92,0.55,0.83,1.0,0.73,0.68,0.72,0.73
rocrail.csv,0.67,0.56,0.81,0.69,0.76,1.0,0.87,0.51,0.9,0.84,0.61,0.68,0.82,0.71,0.0,0.85,0.61
virtuoso.csv,0.76,0.79,0.97,0.91,0.98,0.76,0.92,0.71,0.98,0.93,0.07,1.0,1.0,0.89,0.88,0.68,0.85
yield.csv,0.71,0.82,0.61,0.89,0.71,0.72,0.02,0.8,0.95,0.75,0.77,0.6,0.71,0.71,0.82,0.75,0.96
