,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.0,6.0,1.0,22.0,0.0,3.0,0.0,1.0,0.0,17.0,0.0,0.0,8.0,0.0,2.0,0.0,6.0
dynalloy.csv,29.0,0.0,0.0,54.0,1.0,5.0,7.0,18.0,10.0,4.0,27.0,0.0,0.0,16.0,19.0,1.0,1.0
enzo.csv,5.0,7.0,0.0,43.0,4.0,1.0,0.0,17.0,18.0,39.0,5.0,0.0,6.0,6.0,7.0,1.0,5.0
hydrogen.csv,3.0,12.0,1.0,5.0,0.0,58.0,4.0,0.0,17.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
jcae.csv,92.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,250.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
kmatplot.csv,5.0,0.0,2.0,21.0,1.0,4.0,1.0,12.0,1.0,21.0,15.0,1.0,2.0,5.0,10.0,1.0,5.0
lphant.csv,22.0,0.0,2.0,18.0,1.0,0.0,6.0,5.0,4.0,11.0,30.0,0.0,0.0,11.0,16.0,1.0,1.0
natpad.csv,2.0,0.0,1.0,19.0,7.0,4.0,1.0,11.0,2.0,10.0,13.0,1.0,3.0,12.0,7.0,18.0,0.0
nosleepsoftware.csv,8.0,3.0,142.0,7.0,0.0,58.0,7.0,4.0,9.0,168.0,6.0,0.0,54.0,2.0,7.0,0.0,1.0
ossbuild.csv,13.0,0.0,1.0,0.0,0.0,17.0,5.0,5.0,0.0,9.0,2.0,1.0,3.0,8.0,5.0,2.0,1.0
quarkplayer.csv,26.0,27.0,3.0,87.0,1.0,0.0,12.0,17.0,250.0,0.0,19.0,0.0,0.0,19.0,19.0,0.0,1.0
quickfast.csv,22.0,28.0,0.0,23.0,2.0,4.0,0.0,8.0,11.0,11.0,6.0,0.0,10.0,8.0,13.0,0.0,1.0
rezilla.csv,25.0,6.0,3.0,47.0,1.0,0.0,4.0,2.0,9.0,3.0,17.0,0.0,3.0,12.0,32.0,0.0,1.0
rhex.csv,0.0,6.0,2.0,3.0,2.0,58.0,1.0,3.0,6.0,4.0,0.0,0.0,54.0,2.0,4.0,3.0,3.0
rocrail.csv,1.0,1.0,0.0,9.0,3.0,58.0,3.0,6.0,12.0,4.0,17.0,0.0,0.0,2.0,0.0,4.0,4.0
virtuoso.csv,14.0,0.0,2.0,47.0,1.0,0.0,8.0,3.0,5.0,11.0,0.0,0.0,0.0,14.0,32.0,0.0,1.0
yield.csv,17.0,0.0,1.0,39.0,1.0,5.0,0.0,4.0,2.0,8.0,16.0,1.0,7.0,12.0,38.0,8.0,3.0
