,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.75,0.62,0.37,1.0,0.56,0.37,0.46,0.62,0.31,0.36,0.74,0.52,0.45,0.95,0.82,0.64,0.72
dynalloy.csv,0.67,0.62,1.0,0.89,0.75,0.11,0.79,0.69,0.28,0.55,0.98,0.88,0.95,0.8,0.55,0.57,0.72
enzo.csv,0.92,0.86,0.65,0.89,0.75,0.68,0.71,0.75,0.28,0.64,0.74,0.95,0.91,0.73,1.0,0.77,0.74
hydrogen.csv,0.33,0.38,0.12,0.44,0.31,0.0,0.29,1.0,0.06,0.09,0.55,0.18,0.18,0.36,0.77,0.32,0.56
jcae.csv,0.0,0.34,0.1,1.0,0.06,0.05,0.13,0.44,0.0,0.09,0.05,0.02,0.14,0.14,0.36,0.02,0.09
kmatplot.csv,0.5,0.97,0.21,0.11,0.69,0.11,0.25,0.44,0.09,0.09,0.52,0.53,0.36,0.18,0.55,0.32,0.35
lphant.csv,0.58,0.66,0.42,0.56,0.94,0.79,0.6,0.81,0.88,0.73,0.88,0.45,1.0,0.57,0.91,0.81,0.84
natpad.csv,0.58,0.66,0.5,0.67,0.12,0.26,0.29,0.62,0.56,0.45,0.71,0.72,0.36,0.39,0.5,0.47,0.93
nosleepsoftware.csv,0.25,0.14,0.0,0.44,0.75,0.0,0.03,0.06,0.06,0.0,0.45,0.2,0.0,0.27,0.64,0.34,0.28
ossbuild.csv,0.25,0.72,0.35,0.56,0.06,0.21,0.57,0.69,0.75,0.64,0.43,0.16,0.68,0.66,0.55,0.19,0.44
quarkplayer.csv,0.5,0.34,0.02,0.0,0.88,0.05,0.27,0.12,0.0,0.82,0.55,0.5,0.23,0.23,0.5,0.17,0.26
quickfast.csv,0.42,0.28,0.19,1.0,0.5,0.05,0.4,0.44,0.66,0.18,0.67,0.87,0.59,0.7,0.5,0.96,0.79
rezilla.csv,0.58,0.66,0.73,1.0,0.94,1.0,0.56,0.69,0.41,0.55,0.83,0.79,0.73,0.75,0.91,0.77,0.79
rhex.csv,0.92,0.38,0.1,0.22,0.12,0.0,0.13,0.44,0.06,0.09,0.5,0.17,0.0,0.27,0.32,0.3,0.28
rocrail.csv,0.33,0.45,0.21,0.33,0.25,0.0,0.14,0.5,0.12,0.18,0.43,0.33,0.18,0.3,1.0,0.17,0.4
virtuoso.csv,0.83,1.0,0.9,0.89,1.0,0.89,0.92,0.94,0.94,1.0,0.93,0.99,1.0,0.93,0.95,0.34,0.95
yield.csv,0.92,0.93,0.6,1.0,0.75,0.32,0.98,0.94,0.41,0.91,0.9,0.79,0.86,0.91,0.86,0.96,0.81
