,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.68,0.5,0.63,0.82,0.68,0.55,0.86,0.55,0.54,0.65,0.85
libtorrent.csv,0.51,0.44,0.4,0.59,0.38,0.36,0.47,0.58,0.38,0.34,0.43
mcmc-jags.csv,0.43,0.46,0.48,0.6,0.37,0.39,0.46,0.48,0.39,0.33,0.39
natpad.csv,0.88,0.46,0.41,0.87,0.36,0.46,0.46,0.44,0.72,0.47,0.38
nebuladevice.csv,0.65,0.93,0.0,0.47,0.0,0.63,0.7,0.0,0.57,0.44,0.0
olap-navigator.csv,0.58,0.52,0.49,0.65,0.42,0.47,0.6,0.53,0.47,0.35,0.52
pidgin.csv,0.53,0.34,0.99,0.88,0.34,0.61,0.59,0.52,0.8,0.35,0.48
salasaga.csv,0.36,0.38,0.68,0.5,0.43,0.55,0.45,0.4,0.57,0.33,0.42
sepgsql.csv,0.63,0.48,0.54,0.86,0.4,0.57,0.53,0.56,0.86,0.41,0.44
xstore.csv,0.41,0.53,0.42,0.56,0.37,0.61,0.43,0.48,0.55,0.33,0.42
xtreemfs.csv,0.54,0.46,0.5,0.72,0.4,0.48,0.47,0.53,0.93,0.38,0.47
