,olap-navigator.csv,ikvm.csv,sepgsql.csv,mcmc-jags.csv,pidgin.csv,libtorrent.csv,xstore.csv,salasaga.csv,nebuladevice.csv,xtreemfs.csv,natpad.csv
ikvm.csv,0.56,0.17,0.53,0.43,0.44,0.61,0.51,0.97,0.61,0.52,0.55
libtorrent.csv,0.67,0.5,0.61,0.62,0.86,0.39,0.76,0.63,0.62,0.59,0.95
mcmc-jags.csv,0.52,0.67,0.75,0.14,0.7,0.67,0.68,0.27,0.75,0.77,0.59
natpad.csv,0.15,0.4,0.89,0.19,0.39,0.39,0.41,0.67,0.27,0.36,0.39
nebuladevice.csv,0.52,0.4,0.0,0.57,0.0,0.33,0.39,0.0,0.27,0.33,0.02
olap-navigator.csv,0.07,0.4,0.48,0.19,0.34,0.06,0.44,0.55,0.38,0.43,0.22
pidgin.csv,0.22,0.67,0.14,0.12,0.33,0.28,0.27,0.68,0.23,0.39,0.27
salasaga.csv,0.63,0.63,0.31,0.57,0.33,0.44,0.46,0.3,0.31,0.7,0.2
sepgsql.csv,0.04,0.37,0.32,0.07,0.28,0.0,0.29,0.31,0.07,0.13,0.25
xstore.csv,0.52,0.27,0.95,0.1,0.8,0.11,0.32,0.25,0.37,0.54,0.88
xtreemfs.csv,0.19,0.43,0.74,0.38,0.77,0.22,0.59,0.55,0.18,0.3,0.52
