,gtad.csv,wgs-assembler.csv,nh3d.csv,jvcl.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,scen-connect.csv,htmlunit.csv,myfaces.csv,jaxlib.csv,anaxagora.csv,ipfire-wall.csv,jasperreports.csv,irplus.csv,smartgwt.csv,poormans.csv,free-evolution.csv
anaxagora.csv,22.0,1.0,0.0,10.0,0.0,24.0,5.0,0.0,3.0,37.0,1.0,34.0,49.0,11.0,3.0,169.0,1.0,3.0,28.0,1.0
blogentis.csv,37.0,7.0,0.0,2.0,0.0,3.0,2.0,0.0,91.0,27.0,20.0,2.0,17.0,3.0,8.0,122.0,8.0,3.0,8.0,16.0
free-evolution.csv,22.0,6.0,134.0,39.0,1.0,13.0,10.0,0.0,5.0,57.0,3.0,2.0,23.0,0.0,10.0,150.0,2.0,3.0,13.0,2.0
gtad.csv,5.0,0.0,102.0,3.0,0.0,0.0,4.0,0.0,0.0,20.0,0.0,12.0,0.0,4.0,2.0,25.0,6.0,1.0,2.0,1.0
htmlunit.csv,20.0,2.0,123.0,6.0,0.0,9.0,1.0,0.0,0.0,61.0,4.0,7.0,49.0,6.0,4.0,102.0,2.0,0.0,13.0,0.0
ipfire-wall.csv,7.0,2.0,0.0,158.0,0.0,17.0,9.0,0.0,18.0,61.0,18.0,22.0,5.0,8.0,1.0,26.0,4.0,0.0,1.0,8.0
irplus.csv,20.0,5.0,86.0,8.0,0.0,10.0,1.0,1.0,3.0,2.0,4.0,24.0,49.0,7.0,2.0,112.0,2.0,17.0,1.0,5.0
jasperreports.csv,28.0,3.0,37.0,1.0,0.0,6.0,3.0,0.0,1.0,16.0,25.0,61.0,7.0,10.0,4.0,18.0,0.0,1.0,9.0,13.0
jaxlib.csv,6.0,0.0,3.0,9.0,0.0,9.0,7.0,0.0,2.0,45.0,28.0,11.0,2.0,31.0,8.0,20.0,0.0,2.0,17.0,3.0
jvcl.csv,24.0,0.0,0.0,11.0,0.0,20.0,10.0,0.0,9.0,61.0,8.0,55.0,15.0,5.0,6.0,178.0,0.0,1.0,7.0,1.0
kaffeine.csv,52.0,2.0,172.0,10.0,0.0,20.0,1.0,0.0,29.0,36.0,5.0,11.0,24.0,4.0,6.0,231.0,0.0,19.0,25.0,2.0
m-m-m.csv,14.0,4.0,0.0,9.0,0.0,14.0,14.0,0.0,2.0,59.0,23.0,37.0,24.0,7.0,5.0,332.0,0.0,20.0,41.0,6.0
myfaces.csv,34.0,3.0,105.0,5.0,0.0,12.0,8.0,0.0,27.0,61.0,8.0,0.0,10.0,10.0,1.0,18.0,9.0,2.0,7.0,6.0
nh3d.csv,55.0,4.0,0.0,158.0,0.0,24.0,15.0,0.0,2.0,61.0,12.0,37.0,20.0,7.0,8.0,117.0,0.0,2.0,41.0,16.0
poormans.csv,72.0,3.0,0.0,22.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,11.0,24.0,3.0,54.0,46.0,1.0,4.0,0.0,0.0
sarasvati.csv,15.0,1.0,14.0,9.0,0.0,15.0,1.0,0.0,2.0,15.0,13.0,6.0,10.0,6.0,5.0,66.0,0.0,16.0,6.0,2.0
smartgwt.csv,16.0,0.0,355.0,158.0,2.0,12.0,2.0,0.0,2.0,24.0,10.0,6.0,9.0,5.0,0.0,15.0,1.0,0.0,1.0,0.0
taokgame.csv,10.0,0.0,355.0,3.0,0.0,32.0,1.0,0.0,2.0,61.0,8.0,45.0,49.0,4.0,3.0,47.0,1.0,1.0,2.0,0.0
wgs-assembler.csv,29.0,2.0,0.0,10.0,1.0,9.0,12.0,0.0,1.0,56.0,6.0,14.0,20.0,13.0,9.0,57.0,0.0,32.0,7.0,14.0
