,zealos.csv,openintents.csv,atomsite.csv,bullet.csv,tktoolkit.csv,pokenetonline.csv
atomsite.csv,0.0,0.52,0.95,0.31,0.13,0.23
bullet.csv,0.83,0.91,0.41,1.0,0.83,0.58
openintents.csv,1.0,1.0,0.77,0.3,0.74,0.4
pokenetonline.csv,0.17,0.57,0.86,0.34,0.26,1.0
tktoolkit.csv,0.5,0.74,0.5,0.57,0.87,0.28
zealos.csv,0.87,0.52,0.55,0.48,0.52,0.63
