,ltp.csv,konversation.csv,moviesandbox.csv,sepgsql.csv,migen.csv,mcmc-jags.csv,cataclysmos.csv,ildjit.csv,opengs.csv,tcl.csv,phonon-vlc-mplayer.csv,openxava.csv,unflobtactical.csv,micomt.csv,nebuladevice.csv,passwordsafe.csv,exl.csv,crux-framework.csv
crux-framework.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
exl.csv,0.6,0.4,0.54,0.7,0.58,0.36,0.27,0.56,0.73,0.4,0.44,0.52,0.42,0.75,0.45,0.38,0.0,0.54
ildjit.csv,0.08,0.06,0.0,0.12,0.05,0.31,0.02,0.01,0.0,0.0,0.13,0.0,0.12,0.1,0.1,0.04,0.08,0.04
konversation.csv,0.1,0.0,0.06,0.29,0.02,0.0,0.0,0.31,0.14,0.22,0.35,0.05,0.04,0.27,0.31,0.42,0.77,0.12
ltp.csv,0.02,0.32,0.2,0.35,0.19,0.05,0.4,0.33,0.22,0.15,0.06,0.69,0.15,0.14,0.21,0.21,0.31,0.39
mcmc-jags.csv,0.28,0.23,0.43,0.2,0.35,0.0,0.25,0.56,0.21,0.25,0.21,1.0,0.38,0.25,0.39,0.15,0.23,0.57
micomt.csv,0.19,0.18,0.31,0.33,0.37,0.0,0.21,0.2,0.75,0.08,0.06,0.95,0.12,0.0,0.24,0.14,0.38,0.57
migen.csv,0.71,0.24,0.2,0.8,0.0,0.14,0.37,0.62,0.51,0.57,0.21,0.33,0.15,0.25,0.34,0.19,0.38,0.46
moviesandbox.csv,0.13,0.21,0.06,0.15,0.33,0.14,0.15,0.25,0.22,0.02,0.11,0.01,0.31,0.03,0.11,0.08,0.23,0.5
nebuladevice.csv,0.05,0.12,0.0,0.12,0.28,0.1,0.37,0.21,0.04,0.9,0.09,0.06,0.27,0.46,0.0,0.36,0.46,0.17
opengs.csv,0.94,0.2,0.34,0.77,0.42,0.0,0.17,0.68,0.0,0.12,0.08,0.45,0.31,0.14,0.65,0.04,0.08,0.47
openxava.csv,0.48,0.32,0.31,0.45,0.47,0.31,0.23,0.35,0.3,0.5,0.34,0.0,0.35,0.36,0.44,0.2,0.08,0.28
passwordsafe.csv,0.44,0.4,0.31,0.77,0.72,0.24,0.37,0.67,0.51,0.6,0.34,0.49,0.42,0.19,0.32,0.01,0.38,0.71
phonon-vlc-mplayer.csv,0.52,0.37,0.37,0.77,0.56,0.07,0.29,0.72,0.27,0.48,0.0,0.77,0.38,0.1,0.49,0.31,0.46,0.61
sepgsql.csv,0.06,0.43,0.23,0.0,0.53,0.79,0.62,0.49,0.0,0.78,0.76,0.03,0.58,0.14,0.46,0.63,0.54,0.06
tcl.csv,0.26,0.49,0.14,0.37,0.14,0.24,0.21,0.33,0.06,0.1,0.27,0.23,0.12,0.36,0.45,0.42,0.31,0.28
unflobtactical.csv,0.29,0.33,0.63,0.12,0.4,0.12,0.29,0.3,0.16,0.12,0.36,0.21,0.04,0.19,0.38,0.31,0.38,0.37
