,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,0.74,0.3,0.29,0.33,0.56,0.47,0.42,0.05,0.56,0.57,0.8,0.06,0.29,0.7,0.18,0.1,0.52,0.11
beast-mcmc.csv,0.71,0.7,0.69,0.67,0.64,0.61,0.7,0.64,0.76,0.65,0.68,0.56,0.97,0.87,0.75,0.69,0.76,0.43
cuberok.csv,0.53,0.67,0.25,0.41,0.25,0.67,0.41,0.64,0.6,0.32,0.44,0.5,0.83,0.34,0.36,0.28,0.39,0.23
exist.csv,0.88,0.97,0.76,0.77,0.53,0.72,0.9,0.73,1.0,0.87,0.48,0.88,0.79,0.81,0.79,0.93,0.56,0.83
ingex.csv,0.58,0.58,0.47,0.26,0.67,0.33,0.7,0.09,0.72,0.92,0.28,0.38,0.52,0.62,0.5,0.48,0.41,0.68
javaprofiler.csv,0.74,0.82,0.59,0.97,0.78,0.89,0.8,0.91,0.72,0.65,0.84,1.0,0.98,0.57,0.75,0.86,0.5,0.81
jbasic.csv,0.8,0.61,0.61,0.46,0.84,0.72,0.85,0.18,0.84,0.83,0.88,0.44,0.95,0.89,0.14,0.79,0.87,0.57
jgnash.csv,0.56,0.52,0.41,0.64,0.56,0.36,0.48,0.59,0.64,0.25,0.16,0.5,0.46,0.38,0.64,0.59,0.09,0.15
jrefactory.csv,0.67,0.61,0.75,0.67,0.38,0.14,0.31,0.59,0.36,0.48,0.56,0.5,0.1,0.43,0.57,0.62,0.17,0.84
jsecurity.csv,0.3,0.48,0.29,0.67,0.2,0.56,0.36,0.27,0.68,0.19,0.16,0.19,0.6,0.45,0.18,0.34,0.17,0.36
libopenmetaverse.csv,0.95,1.0,1.0,1.0,1.0,0.61,1.0,0.82,1.0,1.0,0.92,0.94,0.54,0.96,1.0,0.93,0.85,1.0
mobicents.csv,0.82,0.76,0.49,0.46,0.55,0.61,0.67,0.86,0.64,1.0,0.72,0.75,0.95,0.81,0.64,0.93,0.72,0.45
mp-rechnungs-und-kundenverwaltung.csv,0.82,0.39,0.55,0.56,0.39,0.17,0.51,0.36,0.24,1.0,0.84,0.25,0.17,0.6,0.07,0.62,0.33,0.88
openefm.csv,0.73,0.67,0.45,0.92,0.5,0.83,0.86,0.55,0.64,0.14,0.88,0.31,0.71,0.47,0.75,0.48,0.28,0.48
power-architect.csv,0.68,0.64,0.73,0.9,0.75,0.94,0.75,1.0,0.64,0.29,0.6,1.0,0.9,0.89,1.0,0.62,0.8,0.71
sidekar.csv,0.0,0.39,0.0,0.0,0.78,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
wheat.csv,0.61,0.58,0.24,0.56,0.45,0.53,0.63,0.5,0.6,0.57,0.84,0.38,0.94,0.6,0.71,0.72,0.65,0.33
yarp0.csv,0.71,0.73,0.39,0.85,0.53,0.69,0.56,0.55,0.32,0.89,0.8,0.75,0.64,0.81,0.54,0.69,0.57,0.49
