,beast-mcmc.csv,openefm.csv,jrefactory.csv,jsecurity.csv,sidekar.csv,libopenmetaverse.csv,mobicents.csv,cuberok.csv,jgnash.csv,jbasic.csv,apertium.csv,yarp0.csv,exist.csv,mp-rechnungs-und-kundenverwaltung.csv,wheat.csv,ingex.csv,power-architect.csv,javaprofiler.csv
apertium.csv,5.0,1.0,0.0,24.0,2.0,2.0,0.0,0.0,22.0,0.0,1.0,8.0,1.0,2.0,0.0,3.0,0.0,3.0
beast-mcmc.csv,4.0,0.0,0.0,7.0,1.0,1.0,0.0,5.0,35.0,4.0,3.0,10.0,11.0,0.0,0.0,2.0,0.0,0.0
cuberok.csv,2.0,3.0,0.0,16.0,3.0,0.0,0.0,1.0,17.0,0.0,2.0,7.0,7.0,0.0,3.0,2.0,0.0,0.0
exist.csv,4.0,1.0,0.0,7.0,2.0,2.0,1.0,3.0,51.0,19.0,17.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
ingex.csv,12.0,1.0,1.0,8.0,1.0,3.0,0.0,7.0,40.0,0.0,6.0,4.0,13.0,1.0,0.0,0.0,0.0,0.0
javaprofiler.csv,9.0,1.0,0.0,11.0,1.0,0.0,1.0,3.0,43.0,1.0,5.0,3.0,11.0,0.0,0.0,3.0,0.0,0.0
jbasic.csv,7.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,30.0,0.0,8.0,5.0,11.0,0.0,3.0,0.0,0.0,0.0
jgnash.csv,1.0,2.0,0.0,1.0,1.0,3.0,2.0,6.0,3.0,5.0,1.0,3.0,2.0,1.0,0.0,3.0,0.0,1.0
jrefactory.csv,10.0,1.0,0.0,11.0,1.0,1.0,1.0,3.0,52.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
jsecurity.csv,1.0,1.0,2.0,0.0,1.0,1.0,2.0,5.0,29.0,2.0,0.0,3.0,9.0,0.0,2.0,7.0,0.0,0.0
libopenmetaverse.csv,12.0,1.0,0.0,11.0,1.0,0.0,0.0,4.0,68.0,0.0,6.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0
mobicents.csv,14.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,5.0,0.0,1.0,2.0,8.0,5.0,0.0,2.0,0.0,0.0
mp-rechnungs-und-kundenverwaltung.csv,17.0,1.0,3.0,9.0,0.0,0.0,0.0,0.0,21.0,0.0,1.0,1.0,2.0,0.0,1.0,4.0,0.0,0.0
openefm.csv,10.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,42.0,0.0,9.0,3.0,8.0,10.0,0.0,2.0,0.0,0.0
power-architect.csv,4.0,0.0,1.0,16.0,1.0,0.0,1.0,4.0,48.0,0.0,7.0,3.0,11.0,0.0,0.0,3.0,0.0,0.0
sidekar.csv,241.0,1.0,88.0,207.0,0.0,70.0,508.0,1.0,169.0,128.0,82.0,53.0,196.0,148.0,51.0,78.0,67.0,0.0
wheat.csv,25.0,1.0,2.0,4.0,0.0,4.0,0.0,2.0,28.0,13.0,3.0,1.0,9.0,1.0,0.0,1.0,0.0,4.0
yarp0.csv,9.0,5.0,3.0,10.0,0.0,4.0,0.0,6.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0
