,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,array4j.csv
array4j.csv,1.13,0.81,0.8,1.0,0.79,0.84,0.87,0.55,0.92,1.01,0.99,0.44,0.91,0.77,
e-bio-flow.csv,0.93,0.53,0.71,0.55,0.79,0.6,,0.61,0.91,0.66,0.91,1.0,0.98,0.79,1.01
emono.csv,1.0,1.0,0.99,0.92,0.98,0.91,0.96,0.89,1.0,0.91,0.82,0.93,,0.87,1.0
jas.csv,0.51,1.0,0.52,1.04,0.85,0.67,0.89,0.24,0.91,0.78,0.54,,0.82,1.0,0.96
jbpm.csv,0.95,1.0,,1.0,1.0,1.0,0.9,1.0,0.91,1.0,1.0,1.0,1.0,1.0,0.94
jgossipforum.csv,0.5,0.92,0.94,1.0,0.88,0.89,0.74,,0.82,0.64,0.76,1.0,0.89,1.0,0.76
jmonkeyengine.csv,0.5,0.95,0.57,0.85,0.52,,0.66,0.85,0.83,0.74,0.55,0.93,0.79,0.88,0.87
joustsim.csv,0.57,0.93,0.64,0.68,0.62,0.66,0.88,0.6,,0.51,0.57,0.63,0.67,0.76,0.95
log4net.csv,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94
ngl.csv,0.63,0.81,0.87,0.9,0.86,0.51,0.67,0.71,0.5,0.92,,0.65,0.85,0.92,0.85
piccolo2d.csv,0.91,,0.91,1.0,1.0,1.0,0.97,1.0,0.91,1.0,0.98,1.0,1.0,0.76,0.88
pustefix.csv,0.92,0.72,0.57,0.69,,0.46,0.81,1.0,1.0,1.06,0.88,0.72,0.76,1.0,1.0
reaper3d.csv,0.78,1.0,1.0,1.0,0.96,0.94,0.97,0.8,1.0,,0.98,1.0,1.0,1.0,0.96
sblim.csv,,0.63,0.59,1.01,0.83,0.89,0.68,1.01,0.82,1.0,0.54,1.0,0.8,0.8,0.9
thedata.csv,0.59,0.89,0.89,0.62,0.78,0.87,0.72,0.58,0.59,0.53,0.53,0.49,0.66,,0.78
