,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,jmonkeyengine.csv,e-bio-flow.csv,jgossipforum.csv,joustsim.csv,reaper3d.csv,ngl.csv,jas.csv,emono.csv,thedata.csv,array4j.csv
array4j.csv,0.09,0.23,0.21,0.0,0.65,0.61,0.13,0.6,0.09,0.0,0.01,0.62,0.09,0.25,
e-bio-flow.csv,0.23,0.62,0.75,0.67,0.22,0.44,,0.4,0.09,0.5,0.1,0.0,0.89,0.25,0.0
emono.csv,0.82,1.0,0.98,1.0,0.96,0.89,1.0,0.8,1.0,0.88,0.77,0.88,,1.0,0.94
jas.csv,0.55,0.0,0.5,0.0,0.17,0.33,0.13,1.0,0.09,0.25,0.6,,0.26,0.0,0.06
jbpm.csv,0.05,0.0,,0.0,0.0,0.0,0.1,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.06
jgossipforum.csv,0.55,0.08,0.06,0.0,0.13,0.11,0.3,,0.18,0.38,0.25,0.0,0.11,0.0,0.31
jmonkeyengine.csv,0.82,0.08,0.54,0.33,0.65,,0.43,0.2,0.18,0.62,0.57,0.12,0.62,0.25,0.44
joustsim.csv,0.64,0.08,0.38,0.33,0.78,0.44,0.13,0.4,,0.62,0.65,0.38,0.46,0.25,0.06
log4net.csv,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06
ngl.csv,0.91,0.92,1.0,0.67,0.91,0.67,0.87,1.0,0.73,0.88,,0.88,0.72,1.0,0.75
piccolo2d.csv,0.09,,0.1,0.0,0.0,0.0,0.03,0.0,0.09,0.0,0.02,0.0,0.0,0.25,0.12
pustefix.csv,0.09,0.31,0.44,0.33,,0.61,0.2,0.0,0.0,0.0,0.22,0.38,0.26,0.25,0.0
reaper3d.csv,0.23,0.0,0.0,0.0,0.04,0.06,0.03,0.2,0.0,,0.02,0.0,0.0,0.0,0.06
sblim.csv,,0.38,0.42,0.0,0.17,0.11,0.47,0.0,0.18,0.0,0.62,0.0,0.75,0.25,0.12
thedata.csv,0.77,0.31,0.37,0.67,0.35,0.17,0.6,0.8,0.45,0.75,0.56,0.62,0.48,,0.62
