,heekscad.csv,gamestone.csv,xcsoar.csv,igarden.csv,gbif-providertoolkit.csv,levent.csv,bacnet.csv,owlapi.csv,lportal.csv,openmsx.csv,natpad.csv
bacnet.csv,0.64,0.08,0.53,0.29,0.19,0.75,0.55,0.26,0.07,0.37,0.53
gamestone.csv,0.86,0.5,0.53,0.32,0.21,0.0,0.57,0.18,0.02,0.31,0.33
gbif-providertoolkit.csv,0.53,0.04,0.36,0.34,0.39,0.68,0.34,0.25,0.06,0.42,0.4
heekscad.csv,0.82,0.32,0.64,0.36,0.21,0.77,0.41,0.21,0.06,0.4,0.54
igarden.csv,0.83,0.17,0.79,0.46,0.36,0.84,0.48,0.26,0.07,0.52,0.65
levent.csv,0.76,0.0,0.0,0.0,0.2,0.82,0.37,0.0,0.0,0.0,0.52
lportal.csv,0.69,0.0,0.59,0.0,1.0,0.75,1.0,0.24,0.15,0.5,0.79
natpad.csv,0.66,0.14,0.49,0.31,0.18,0.73,0.39,0.22,0.05,0.38,0.58
openmsx.csv,0.68,0.15,0.4,0.33,0.23,0.84,0.21,0.19,0.0,0.55,0.6
owlapi.csv,0.55,0.0,0.41,0.33,0.19,0.73,0.35,0.38,0.05,0.39,0.44
xcsoar.csv,0.85,0.33,0.68,0.33,0.28,0.74,0.49,0.28,0.07,0.41,0.5
