,jmoney.csv,array4j.csv,dxengine.csv,jsidplay2.csv,sblim.csv,piccolo2d.csv,jbpm.csv,log4net.csv,pustefix.csv,haggle.csv,jmonkeyengine.csv,mediate.csv,e-bio-flow.csv,tmva.csv,matrex.csv,freedom-erp.csv,jchassis.csv,emono.csv,thedata.csv
array4j.csv,0.23,0.44,0.38,0.62,0.21,0.19,0.18,0.05,0.4,0.4,0.4,0.71,0.41,0.21,0.47,0.71,0.0,0.44,0.13
dxengine.csv,0.52,0.29,0.68,0.64,0.49,0.05,0.01,0.0,0.07,0.26,0.0,0.51,0.2,0.3,0.66,0.0,0.0,0.44,0.1
e-bio-flow.csv,0.21,0.18,0.25,0.64,0.18,0.27,0.17,0.09,0.35,0.33,0.44,0.39,0.61,0.45,0.05,0.67,0.0,0.75,0.07
emono.csv,0.58,0.33,0.37,0.81,0.18,0.23,0.17,0.06,0.36,0.68,0.37,0.69,0.48,0.77,0.62,0.74,0.06,0.76,0.15
freedom-erp.csv,0.79,0.3,0.12,0.5,0.0,0.12,0.22,0.15,0.14,0.0,0.0,0.0,0.42,0.06,0.32,0.76,0.0,0.11,0.0
haggle.csv,0.28,0.05,0.39,0.38,0.23,0.24,0.4,0.06,0.45,0.68,0.51,0.14,0.56,0.16,0.1,0.02,0.0,0.14,0.04
jbpm.csv,0.27,0.14,0.13,0.07,0.13,0.0,0.56,0.0,0.31,0.24,0.25,0.0,0.27,0.01,0.2,0.32,0.0,0.0,0.22
jchassis.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.08,0.0,0.5,0.0,0.0
jmoney.csv,0.79,0.28,0.63,0.65,0.32,0.33,0.3,0.05,0.39,0.54,0.31,0.67,0.56,0.49,0.31,0.48,0.0,0.64,0.06
jmonkeyengine.csv,0.23,0.22,0.53,0.41,0.44,0.09,0.25,0.02,0.48,0.78,0.62,0.41,0.34,0.79,0.3,0.0,0.07,0.72,0.09
jsidplay2.csv,0.52,0.31,0.25,0.85,0.09,0.25,0.2,0.07,0.21,0.37,0.36,0.65,0.48,0.51,0.71,0.74,0.0,0.41,0.1
log4net.csv,0.67,0.34,0.26,0.4,0.24,0.36,0.2,0.27,0.17,0.14,0.0,0.63,0.42,0.24,0.59,0.39,0.0,0.46,0.06
matrex.csv,0.65,0.3,0.51,0.52,0.57,0.28,0.32,0.2,0.0,0.15,0.15,0.66,0.36,0.09,0.83,0.48,0.0,0.32,0.0
mediate.csv,0.32,0.25,0.3,0.21,0.26,0.42,0.36,0.07,0.36,0.6,0.39,0.71,0.39,0.35,0.53,0.51,0.08,0.16,0.0
piccolo2d.csv,0.68,0.28,0.31,0.63,0.41,0.52,0.27,0.19,0.12,0.41,0.38,0.65,0.47,0.41,0.73,0.65,0.0,0.32,0.07
pustefix.csv,0.21,0.16,0.55,0.37,0.2,0.17,0.34,0.03,0.46,0.41,0.39,0.3,0.41,0.74,0.24,0.56,0.11,0.59,0.06
sblim.csv,0.24,0.0,0.2,0.24,0.65,0.4,0.48,0.0,0.26,0.05,0.29,0.1,0.51,0.59,0.08,0.45,0.0,0.72,0.07
thedata.csv,0.52,0.34,0.57,0.77,0.41,0.19,0.12,0.04,0.36,0.59,0.23,0.64,0.49,0.54,0.66,0.75,0.0,0.67,0.67
tmva.csv,0.4,0.36,0.47,0.83,0.12,0.24,0.21,0.05,0.37,0.78,0.42,0.72,0.56,0.82,0.65,0.73,0.0,0.4,0.11
