,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,0.2,0.55,0.17,0.02,0.13,0.23,0.11,0.15,0.0,0.0,0.23,0.1,0.0,0.05,0.11,0.15,0.16,0.83,0.58,0.16
aubit4gl.csv,0.46,0.56,0.59,0.37,0.98,0.42,0.39,0.38,0.57,0.47,0.52,0.43,0.46,0.39,0.5,0.61,0.6,0.49,0.44,0.47
bionote.csv,0.04,0.0,0.0,0.27,0.05,0.04,0.11,0.22,0.0,0.0,0.04,0.0,0.0,0.0,0.0,1.0,0.09,0.12,0.13,0.18
bullet.csv,0.51,0.34,0.58,0.19,0.62,0.99,0.61,0.3,0.3,0.6,0.51,0.51,0.47,0.44,0.5,0.39,0.71,0.55,0.09,0.47
customwars.csv,0.33,0.2,0.33,0.48,0.5,0.36,0.05,0.95,0.45,0.38,0.32,0.17,0.13,0.26,0.16,0.55,0.6,0.3,0.43,0.36
findbugs.csv,0.57,0.2,0.54,0.52,0.56,0.46,0.44,0.21,0.12,0.54,0.56,0.17,0.0,0.49,0.54,0.75,0.47,0.53,0.91,0.32
frogatto.csv,0.6,0.69,0.58,0.6,0.59,0.56,0.68,0.65,0.34,0.37,0.93,0.62,0.0,0.58,0.33,0.63,0.51,0.57,0.61,0.58
grisbi.csv,0.64,0.37,0.63,0.33,0.57,0.63,0.47,0.41,0.49,0.35,0.65,0.98,0.52,0.66,0.55,0.5,0.63,0.62,0.41,0.46
lsb.csv,0.6,0.66,0.53,0.77,0.52,0.57,0.55,0.33,0.55,0.57,0.58,0.65,0.72,0.62,0.64,0.43,0.77,0.61,0.51,0.49
oscarmcmaster.csv,0.06,0.2,0.17,0.31,0.28,0.19,0.16,0.33,0.12,0.0,0.2,0.02,0.73,0.28,0.17,0.76,0.33,0.31,0.41,0.84
plearn.csv,0.86,0.2,0.4,0.47,0.45,0.34,0.3,0.33,0.52,0.59,0.42,0.54,0.13,0.44,0.44,0.15,0.83,0.58,0.41,0.53
psrchive.csv,0.24,0.38,0.88,0.34,0.41,0.31,0.2,0.14,0.12,0.38,0.29,0.17,0.0,0.09,0.46,0.15,0.56,0.12,0.41,0.11
re2c.csv,0.39,1.0,0.53,0.44,0.69,0.3,0.05,0.07,0.35,0.65,0.34,0.36,0.13,0.34,0.3,0.0,0.66,0.34,0.25,0.13
rebecca-aiml.csv,0.33,0.2,0.47,0.42,0.46,0.28,0.0,0.56,0.63,0.66,0.4,0.45,0.49,0.48,0.24,0.63,0.98,0.4,0.55,0.56
rtrt-on-gpu.csv,0.44,0.37,0.59,0.35,0.57,0.38,0.55,0.28,0.99,0.36,0.58,0.54,0.36,0.49,0.39,0.77,0.71,0.57,0.55,0.48
stemkit.csv,0.04,0.0,0.0,0.09,0.02,0.04,0.0,0.15,0.12,1.0,0.1,0.07,0.0,0.18,0.0,0.0,0.2,0.0,0.0,0.0
tcvp.csv,0.26,0.53,0.25,0.53,0.41,0.23,0.25,0.14,0.34,0.63,0.1,0.17,1.0,0.11,0.24,0.14,0.65,0.23,0.29,0.07
tktoolkit.csv,0.63,0.09,0.52,0.53,0.6,0.34,0.86,0.44,0.17,0.52,0.53,0.43,0.0,0.56,0.0,0.52,0.54,0.53,0.64,0.45
tycho.csv,0.5,0.74,0.61,0.33,0.6,0.37,0.48,0.49,0.4,0.31,0.59,0.45,0.13,0.48,1.0,0.14,0.13,0.69,0.63,0.54
xstore.csv,0.51,0.38,0.63,0.3,0.57,0.55,0.41,0.49,0.23,0.5,0.67,0.45,0.37,0.98,0.53,0.69,0.59,0.57,0.44,0.59
