,plearn.csv,re2c.csv,psrchive.csv,lsb.csv,aubit4gl.csv,bullet.csv,tktoolkit.csv,customwars.csv,rtrt-on-gpu.csv,stemkit.csv,frogatto.csv,grisbi.csv,tcvp.csv,xstore.csv,tycho.csv,bionote.csv,rebecca-aiml.csv,adobe-source.csv,findbugs.csv,oscarmcmaster.csv
adobe-source.csv,1.0,2.0,3.0,0.0,3.0,0.0,3.0,0.0,57.0,77.0,0.0,0.0,82.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0
aubit4gl.csv,3.0,0.0,3.0,0.0,0.0,2.0,4.0,1.0,2.0,10.0,0.0,2.0,9.0,9.0,0.0,12.0,2.0,11.0,0.0,5.0
bionote.csv,2.0,56.0,88.0,26.0,5.0,0.0,7.0,1.0,57.0,77.0,0.0,79.0,82.0,86.0,62.0,0.0,18.0,0.0,1.0,3.0
bullet.csv,2.0,0.0,0.0,3.0,0.0,0.0,5.0,23.0,19.0,5.0,0.0,0.0,7.0,4.0,0.0,11.0,4.0,8.0,1.0,3.0
customwars.csv,1.0,0.0,6.0,21.0,2.0,2.0,9.0,0.0,0.0,3.0,1.0,0.0,20.0,8.0,0.0,2.0,3.0,30.0,1.0,3.0
findbugs.csv,4.0,2.0,1.0,13.0,1.0,1.0,4.0,11.0,2.0,2.0,5.0,0.0,82.0,2.0,0.0,5.0,3.0,4.0,0.0,0.0
frogatto.csv,4.0,4.0,7.0,14.0,1.0,3.0,9.0,5.0,7.0,12.0,0.0,1.0,82.0,0.0,3.0,7.0,49.0,5.0,1.0,1.0
grisbi.csv,1.0,14.0,13.0,0.0,2.0,1.0,5.0,15.0,14.0,14.0,0.0,0.0,7.0,1.0,0.0,17.0,14.0,5.0,0.0,4.0
lsb.csv,4.0,0.0,31.0,0.0,2.0,2.0,2.0,0.0,11.0,1.0,2.0,6.0,8.0,3.0,0.0,21.0,2.0,24.0,0.0,8.0
oscarmcmaster.csv,6.0,4.0,3.0,8.0,0.0,0.0,12.0,1.0,0.0,77.0,1.0,1.0,10.0,0.0,3.0,6.0,0.0,15.0,1.0,0.0
plearn.csv,0.0,10.0,10.0,3.0,2.0,0.0,3.0,2.0,3.0,12.0,1.0,3.0,11.0,2.0,0.0,2.0,2.0,5.0,0.0,10.0
psrchive.csv,0.0,0.0,0.0,0.0,1.0,0.0,6.0,9.0,0.0,2.0,0.0,0.0,82.0,2.0,0.0,3.0,2.0,1.0,0.0,0.0
re2c.csv,2.0,0.0,8.0,16.0,2.0,1.0,12.0,14.0,2.0,8.0,0.0,0.0,9.0,1.0,0.0,59.0,3.0,8.0,0.0,6.0
rebecca-aiml.csv,7.0,0.0,8.0,7.0,2.0,1.0,177.0,12.0,2.0,9.0,0.0,2.0,0.0,0.0,0.0,5.0,0.0,18.0,0.0,1.0
rtrt-on-gpu.csv,3.0,0.0,19.0,24.0,3.0,2.0,0.0,15.0,1.0,4.0,2.0,4.0,13.0,5.0,0.0,9.0,2.0,15.0,0.0,7.0
stemkit.csv,4.0,56.0,88.0,14.0,0.0,1.0,177.0,0.0,1.0,0.0,0.0,0.0,82.0,1.0,62.0,59.0,4.0,161.0,72.0,224.0
tcvp.csv,3.0,0.0,2.0,3.0,2.0,2.0,1.0,8.0,1.0,10.0,0.0,4.0,0.0,3.0,0.0,11.0,2.0,11.0,0.0,6.0
tktoolkit.csv,5.0,0.0,7.0,3.0,2.0,2.0,0.0,1.0,3.0,10.0,1.0,0.0,19.0,5.0,62.0,13.0,1.0,16.0,0.0,11.0
tycho.csv,2.0,0.0,4.0,1.0,1.0,2.0,8.0,10.0,1.0,9.0,1.0,1.0,9.0,3.0,0.0,19.0,3.0,2.0,0.0,1.0
xstore.csv,8.0,0.0,1.0,0.0,3.0,0.0,17.0,14.0,2.0,9.0,0.0,1.0,5.0,0.0,0.0,7.0,0.0,4.0,0.0,2.0
