,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,0.25,0.06,0.64,0.57,0.39,0.17,0.19,0.82,0.13,0.14,0.2,0.33
gamestone.csv,0.88,0.32,0.32,0.22,0.09,0.1,0.81,0.14,0.87,0.09,0.11,0.3
geochat.csv,0.0,0.19,0.0,0.22,0.29,0.07,0.5,0.09,0.27,0.27,0.18,0.53
igarden.csv,0.62,0.71,0.24,0.65,0.38,0.45,0.23,0.91,0.2,0.32,0.49,0.33
ingex.csv,0.5,0.39,0.72,0.74,0.93,0.62,0.62,0.64,0.47,0.91,0.65,0.37
lphant.csv,0.75,0.48,0.56,0.65,0.43,0.69,0.85,0.68,0.73,0.59,0.67,0.6
nabu-library.csv,0.38,0.32,0.32,0.13,0.89,0.93,0.04,0.27,0.0,0.05,0.55,0.37
nebuladevice.csv,0.25,0.03,0.0,0.43,0.63,0.21,0.08,0.09,0.73,0.45,0.62,0.0
owlapi.csv,0.0,0.19,0.76,0.22,0.85,0.76,0.23,0.59,0.13,0.45,0.36,0.53
pi-qmc.csv,0.88,0.61,0.52,0.43,0.49,0.48,0.85,0.91,0.8,0.86,0.45,0.77
trinitycore.csv,0.38,0.68,0.32,0.52,0.3,0.21,0.23,0.27,0.87,0.45,0.67,0.1
twostep.csv,0.62,0.65,0.92,0.87,0.58,0.66,0.81,0.59,0.6,0.64,0.64,0.6
