,gamestone.csv,igarden.csv,owlapi.csv,archive-crawler.csv,nabu-library.csv,ingex.csv,twostep.csv,lphant.csv,nebuladevice.csv,pi-qmc.csv,trinitycore.csv,geochat.csv
archive-crawler.csv,23.0,4.0,41.0,1.0,32.0,4.0,0.0,8.0,2.0,1.0,12.0,12.0
gamestone.csv,1.0,0.0,20.0,1.0,1.0,0.0,18.0,2.0,0.0,0.0,7.0,6.0
geochat.csv,59.0,3.0,155.0,1.0,2.0,2.0,16.0,4.0,3.0,30.0,16.0,0.0
igarden.csv,10.0,0.0,20.0,4.0,0.0,10.0,6.0,10.0,0.0,0.0,11.0,6.0
ingex.csv,3.0,2.0,18.0,5.0,2.0,1.0,11.0,0.0,1.0,1.0,5.0,9.0
lphant.csv,1.0,1.0,12.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,3.0,1.0
nabu-library.csv,11.0,0.0,23.0,12.0,0.0,3.0,0.0,0.0,85.0,1.0,8.0,3.0
nebuladevice.csv,0.0,0.0,155.0,7.0,2.0,1.0,0.0,3.0,0.0,2.0,12.0,127.0
owlapi.csv,59.0,2.0,5.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,7.0
pi-qmc.csv,5.0,2.0,37.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,17.0,9.0
trinitycore.csv,0.0,1.0,40.0,8.0,42.0,0.0,14.0,1.0,1.0,4.0,0.0,2.0
twostep.csv,1.0,2.0,15.0,3.0,29.0,0.0,0.0,5.0,1.0,0.0,6.0,8.0
