,qtractor.csv,alleg.csv,ossbuild.csv,mimosa.csv,quarkplayer.csv,freewrl.csv,google-web-toolkit.csv,ns-3-dev-def-routing.csv,jstock.csv,synergyspace.csv,jcache.csv,fulguro.csv,miranda.csv
alleg.csv,0.57,0.74,0.53,0.11,0.09,0.33,0.29,0.51,0.62,0.31,0.09,0.55,0.74
freewrl.csv,0.93,0.93,0.72,0.53,0.64,0.7,0.76,0.74,0.69,0.65,0.71,0.45,0.95
fulguro.csv,0.57,0.18,0.0,0.92,0.27,0.7,0.04,0.52,0.92,0.77,0.91,0.55,0.0
google-web-toolkit.csv,0.39,0.14,0.09,0.79,0.36,0.19,0.66,0.49,0.23,0.77,0.88,0.0,0.62
jcache.csv,0.93,0.9,0.59,0.71,1.0,0.81,0.73,0.88,0.92,0.27,0.91,0.82,0.78
jstock.csv,0.61,0.18,0.09,0.42,0.73,0.67,0.51,0.62,0.92,0.27,0.79,0.73,0.41
mimosa.csv,0.79,0.98,0.97,0.76,0.82,0.78,0.72,0.85,0.92,0.73,0.68,0.73,0.68
miranda.csv,0.57,0.32,0.03,0.05,0.0,0.0,0.07,0.43,0.0,0.19,0.41,0.73,0.81
ns-3-dev-def-routing.csv,0.39,0.89,0.94,0.68,0.73,0.19,0.44,0.66,0.31,0.69,0.47,0.45,0.87
ossbuild.csv,0.68,0.53,0.75,0.45,0.73,0.7,0.47,0.52,0.23,0.15,0.44,0.73,0.58
qtractor.csv,0.68,0.57,1.0,0.92,0.82,0.19,0.54,0.76,0.54,0.27,0.71,0.82,0.79
quarkplayer.csv,0.25,0.18,0.56,0.5,0.82,0.0,0.17,0.32,0.0,0.35,0.26,0.18,0.1
synergyspace.csv,0.43,0.66,0.72,0.76,0.82,0.11,0.53,0.43,0.54,0.65,0.47,0.36,0.11
