,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,proftp.csv,echongl.csv,tycho.csv,xpontus.csv,unicase.csv,uclmda.csv
echongl.csv,0.48,0.63,0.69,0.0,0.53,0.41,0.69,0.82,0.0,0.0,0.3,0.01
ivatamasks.csv,0.17,0.72,0.32,0.74,0.21,0.41,0.66,0.0,0.0,0.57,0.43,0.0
orc.csv,0.06,0.49,0.86,0.46,0.09,0.55,0.79,0.01,0.0,0.89,0.45,0.44
plato.csv,0.09,0.0,0.13,0.45,0.21,0.74,0.0,0.57,0.0,0.33,0.05,0.0
proftp.csv,0.0,0.17,0.49,0.12,0.01,0.32,0.77,0.45,0.0,0.97,0.4,0.01
tycho.csv,0.13,0.5,0.42,0.57,0.45,0.38,0.27,0.27,0.77,0.8,0.4,0.32
uclmda.csv,0.0,0.01,0.07,0.01,0.35,0.12,0.16,0.05,0.45,0.0,0.05,0.99
umber.csv,0.81,0.0,0.0,0.7,0.45,0.0,0.3,0.36,0.32,0.54,0.64,0.5
unicase.csv,0.82,0.93,0.55,0.39,0.41,0.6,0.38,0.59,0.48,0.65,0.72,0.02
vienna-add-in.csv,0.66,0.0,0.51,0.51,0.69,0.5,0.0,0.48,0.58,0.0,0.44,0.3
wpdev.csv,0.09,1.0,0.09,0.0,0.09,0.0,0.0,0.3,0.17,0.13,0.05,0.0
