,barracudamvc.csv,openintents.csv,arsenal-1.csv,alembik.csv,ontopia.csv,irplus.csv,lite.csv,mevenide.csv,tweetsharp.csv,ta3d.csv
alembik.csv,0.21,0.09,0.0,0.77,0.11,0.12,0.53,0.1,0.17,0.23
arsenal-1.csv,0.73,0.17,0.7,0.05,0.05,0.12,0.13,0.62,0.1,0.03
barracudamvc.csv,0.76,0.87,1.0,0.91,0.91,1.0,0.93,0.59,0.98,0.86
irplus.csv,0.65,0.83,0.11,0.77,0.41,0.64,0.8,0.34,0.6,0.54
lite.csv,0.37,0.26,0.56,0.23,0.39,0.36,0.67,0.45,0.38,0.34
mevenide.csv,0.61,0.43,0.3,0.05,0.12,0.04,0.13,0.69,0.05,0.29
ontopia.csv,0.09,0.74,0.19,0.55,0.79,0.2,0.73,0.07,0.88,0.8
openintents.csv,0.22,0.65,0.37,0.23,0.16,0.76,0.6,0.31,0.12,0.4
ta3d.csv,0.41,0.17,0.93,0.05,0.32,0.28,0.2,0.31,0.07,0.63
tweetsharp.csv,0.34,0.39,0.89,0.77,0.37,0.44,0.8,0.28,0.76,0.51
