,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,oppna-program-hsatools.csv,mia.csv,jaolt.csv,glas.csv,hannosset.csv,jcl.csv,gmerlin.csv
chipster.csv,0.36,0.7,0.32,0.31,0.09,0.98,0.71,0.0,0.37,0.35,0.46,0.57,0.6,0.04,0.53,0.5,0.11
fontforge.csv,0.14,0.48,0.32,0.4,0.3,0.42,0.97,0.97,0.47,0.49,0.27,0.13,0.29,0.17,0.64,0.5,0.29
glas.csv,0.48,0.56,0.35,0.54,0.53,0.52,0.0,0.56,0.2,0.1,0.51,0.37,0.46,0.96,0.77,0.5,0.31
gmerlin.csv,0.14,0.44,0.17,0.28,0.07,0.33,0.98,0.45,0.07,0.3,0.25,0.44,0.12,0.04,0.37,0.47,0.98
hannosset.csv,0.15,0.04,0.17,0.1,0.34,0.11,0.0,0.0,0.07,0.04,0.11,0.07,0.01,0.04,1.0,0.0,0.19
hatari.csv,0.6,0.59,0.99,0.47,0.57,0.33,0.92,0.33,0.56,0.4,0.62,0.63,0.31,0.19,0.37,0.33,0.36
jaolt.csv,0.7,0.7,0.58,0.46,0.57,0.54,0.9,0.55,0.53,0.45,0.7,0.44,0.99,0.23,0.53,0.48,0.47
jcl.csv,0.02,0.47,0.17,0.35,0.04,0.1,0.0,0.28,0.2,0.45,0.05,0.26,0.13,0.04,0.0,1.0,0.42
ltp.csv,0.31,0.43,0.54,0.36,0.98,0.45,0.0,0.53,0.37,0.47,0.36,0.2,0.33,0.36,0.62,0.39,0.45
mia.csv,0.34,0.37,0.4,0.32,0.62,0.44,0.96,0.37,0.37,0.0,0.37,1.0,0.25,0.0,0.2,0.48,0.52
net-snmp.csv,1.0,0.3,0.12,0.05,0.31,0.33,0.98,0.6,0.43,0.27,0.39,0.38,0.31,0.17,0.0,0.33,0.19
opde.csv,0.46,0.74,0.48,0.95,0.29,0.46,0.75,0.39,0.51,0.48,0.5,0.59,0.49,0.22,0.54,0.09,0.48
oppna-program-hsatools.csv,0.62,0.62,0.58,0.17,0.4,0.62,0.3,0.23,0.38,0.35,1.0,0.17,0.35,0.5,0.52,0.59,0.5
powerfolder-.csv,0.28,0.97,0.17,0.19,0.07,0.17,0.99,0.47,0.32,0.32,0.25,0.61,0.29,0.0,0.0,0.54,0.19
qlc.csv,0.12,0.49,0.04,0.14,0.1,0.27,1.0,0.29,0.91,0.21,0.04,0.26,0.19,0.19,0.54,0.25,0.07
tcl.csv,0.18,0.19,0.12,0.14,0.09,0.2,0.0,0.46,0.13,0.93,0.16,0.2,0.24,0.19,0.0,0.09,0.19
