,xbrlapi.csv,codeblocks.csv,utgb.csv,red5.csv,bulmages.csv,proftp.csv,grisbi.csv,t-2.csv,libmesh.csv,tcvp.csv,tart.csv,panda3d.csv,super-tux.csv,soar.csv,qmmp.csv,mesa3d.csv
bulmages.csv,0.21,0.03,0.11,0.12,0.95,0.42,0.17,0.03,0.0,0.0,0.0,0.22,0.0,0.19,0.0,0.21
codeblocks.csv,0.26,0.99,0.27,0.63,0.27,0.6,0.91,0.12,0.53,0.21,0.13,0.45,0.86,0.0,0.58,0.36
grisbi.csv,0.69,0.79,0.62,0.72,0.37,0.67,0.98,0.22,0.4,0.19,0.13,0.44,0.74,0.63,0.66,0.38
libmesh.csv,0.41,0.27,0.49,0.48,0.24,0.46,0.4,0.19,0.9,0.05,0.05,0.29,0.68,0.65,0.11,0.37
mesa3d.csv,0.26,0.22,0.14,0.46,0.2,0.38,0.33,0.07,0.13,0.24,0.0,0.23,0.32,0.05,0.25,0.89
panda3d.csv,0.0,0.38,0.16,0.33,0.27,0.41,0.33,0.02,0.23,0.13,0.12,0.95,0.36,0.3,0.4,0.14
proftp.csv,0.38,0.51,0.51,0.47,0.24,0.97,0.59,0.21,0.34,0.13,0.05,0.37,0.24,0.26,0.53,0.35
qmmp.csv,0.62,0.6,0.54,0.6,0.34,0.53,0.7,0.19,0.28,0.21,0.11,0.43,0.65,0.41,0.98,0.32
red5.csv,0.45,0.63,0.5,0.98,0.28,0.45,0.44,0.29,0.56,0.11,0.09,0.37,0.68,0.11,0.44,0.26
soar.csv,0.58,0.79,0.63,0.7,0.35,0.57,0.8,0.22,0.56,0.19,0.11,0.44,0.89,0.95,0.62,0.31
super-tux.csv,0.63,0.86,0.54,0.66,0.33,0.62,0.9,0.24,0.53,0.2,0.1,0.47,1.0,0.06,0.67,0.35
t-2.csv,0.45,0.57,0.58,0.49,0.22,0.15,0.59,0.95,0.56,0.12,0.08,0.34,0.8,0.58,0.37,0.3
tart.csv,0.31,0.02,0.33,0.31,0.0,0.12,0.09,0.16,0.0,0.0,0.89,0.0,0.12,0.63,0.0,0.0
tcvp.csv,0.19,0.11,0.38,0.31,0.0,0.0,0.16,0.05,0.07,1.0,0.0,0.0,0.04,0.7,0.18,0.03
utgb.csv,0.27,0.36,0.99,0.48,0.16,0.46,0.3,0.13,0.42,0.0,0.0,0.36,0.38,0.56,0.14,0.24
xbrlapi.csv,0.96,0.52,0.37,0.6,0.29,0.26,0.77,0.24,0.23,0.31,0.07,0.39,0.66,0.2,0.62,0.35
