,jahshakafx.csv,unladen-swallow.csv,plee-the-bear.csv,reaper-ecad.csv,nullc.csv,ns-3.csv,novembre.csv,emeraldemu.csv,open-beos.csv,maya-work-in-progress.csv,cornerstone.csv,unimrcp.csv,planeshift.csv,grafx2.csv,sbml.csv,ardour.csv,pixel-commandos.csv,zxing.csv
ardour.csv,0.62,0.21,0.12,0.25,0.9,0.75,0.57,0.62,0.63,0.73,0.52,0.64,0.87,0.83,0.88,0.74,0.11,0.95
cornerstone.csv,0.56,0.27,0.16,0.35,0.9,0.82,0.0,0.48,0.5,1.0,0.68,0.5,0.97,0.72,1.0,0.72,0.29,1.0
emeraldemu.csv,0.53,0.23,0.09,0.16,0.89,0.77,0.5,0.61,0.76,0.64,0.53,0.5,0.95,1.0,0.95,0.81,0.2,0.82
grafx2.csv,0.51,0.2,0.1,0.26,0.89,0.66,0.41,0.5,0.48,0.69,0.52,0.36,0.8,0.82,0.76,0.63,0.15,0.84
jahshakafx.csv,0.59,0.23,0.1,0.22,0.94,0.78,0.47,0.46,0.55,0.73,0.55,0.67,0.9,0.82,0.82,0.72,0.15,0.82
maya-work-in-progress.csv,0.46,0.19,0.11,0.25,0.82,0.73,0.33,0.43,0.46,0.8,0.52,0.44,0.86,0.78,0.84,0.64,0.05,0.79
novembre.csv,0.62,0.21,0.08,0.12,1.0,0.73,0.48,0.39,0.43,0.62,0.52,0.31,0.81,0.68,0.64,0.74,0.17,0.83
ns-3.csv,0.39,0.2,0.07,0.22,0.89,0.76,0.29,0.31,0.42,0.56,0.62,0.28,0.8,0.5,0.72,0.57,0.04,0.77
nullc.csv,0.33,0.12,0.06,0.13,1.0,0.7,0.35,0.41,0.48,0.71,0.51,0.38,0.8,0.71,0.79,0.59,0.1,0.9
open-beos.csv,0.5,0.21,0.14,0.23,0.92,0.75,0.34,0.4,0.63,0.92,0.63,0.28,0.79,0.59,0.82,0.7,0.07,0.84
pixel-commandos.csv,0.57,0.14,0.05,0.11,1.0,0.7,0.62,0.47,0.62,1.0,0.29,0.0,0.94,0.92,0.91,0.73,0.44,0.77
planeshift.csv,0.3,0.13,0.06,0.13,0.81,0.69,0.3,0.42,0.43,0.53,0.59,0.28,0.9,0.72,0.76,0.56,0.03,0.77
plee-the-bear.csv,0.53,0.21,0.17,0.11,0.82,0.71,0.32,0.28,0.45,0.82,0.56,0.38,0.78,0.59,0.77,0.65,0.05,0.8
reaper-ecad.csv,0.75,0.25,0.0,0.32,1.0,1.0,1.0,0.59,1.0,1.0,0.8,0.0,0.89,0.0,1.0,0.67,0.0,1.0
sbml.csv,0.34,0.18,0.07,0.16,0.91,0.67,0.26,0.34,0.5,0.42,0.62,0.27,0.79,0.56,0.9,0.66,0.05,0.72
unimrcp.csv,0.28,0.18,0.14,0.32,0.92,0.75,0.25,0.66,0.57,0.69,0.51,0.5,0.91,0.84,0.89,0.75,0.0,0.67
unladen-swallow.csv,0.57,0.23,0.14,0.2,0.9,0.83,0.28,0.39,0.52,0.75,0.71,0.44,0.8,0.79,0.75,0.75,0.06,0.8
zxing.csv,0.62,0.21,0.15,0.25,0.92,0.84,0.39,0.61,0.61,0.9,0.54,0.0,0.86,0.85,0.93,0.7,0.11,0.91
