,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.15,0.42,0.0,0.72,0.32,0.48,0.0,0.06,0.08,0.03,0.0,0.08
fontforge.csv,0.94,0.81,1.0,1.0,0.99,0.54,0.98,0.23,0.91,1.0,0.99,0.83,0.82
gmerlin.csv,0.04,0.86,0.56,0.84,0.0,0.6,0.9,0.0,0.54,0.0,0.0,0.32,0.39
hatari.csv,0.65,0.53,0.33,0.78,0.88,0.44,0.79,0.94,0.93,0.9,0.91,0.32,0.39
jcl.csv,0.69,0.38,0.67,0.36,0.56,0.45,0.67,0.45,0.64,0.8,0.3,0.42,0.33
ltp.csv,0.37,0.64,0.86,0.6,0.43,0.75,0.83,0.87,0.74,0.57,0.8,0.3,0.73
net-snmp.csv,0.43,0.32,0.36,0.78,0.41,0.44,0.23,0.94,0.71,0.75,0.55,0.18,0.61
opde.csv,1.0,0.42,1.0,0.2,1.0,0.6,0.25,1.0,0.63,0.0,0.8,0.44,0.67
powerfolder-.csv,0.49,0.2,0.19,0.87,0.24,0.29,0.37,0.06,0.66,0.38,0.58,0.48,0.67
qlc.csv,0.0,0.68,0.0,0.47,0.74,0.29,0.31,0.0,0.37,0.12,0.23,0.0,0.45
tcl.csv,0.78,0.88,0.92,0.96,0.73,0.85,0.87,0.0,0.76,0.38,0.0,0.41,0.67
wxstudio.csv,0.47,0.2,0.31,0.47,0.25,0.29,0.6,0.81,0.3,0.78,0.0,0.36,0.24
