,net-snmp.csv,powerfolder-.csv,hatari.csv,opde.csv,ltp.csv,chipster.csv,cataclysmos.csv,fontforge.csv,qlc.csv,tcl.csv,jcl.csv,gmerlin.csv,wxstudio.csv
chipster.csv,0.0,0.44,0.47,0.0,0.62,0.58,0.0,0.05,0.0,0.16,0.0,0.0,0.04
fontforge.csv,0.23,0.52,0.0,0.0,0.05,0.66,0.09,0.72,0.31,0.0,0.05,0.48,0.49
gmerlin.csv,0.02,0.43,0.52,0.43,0.0,0.6,0.36,0.0,0.61,0.0,0.0,0.63,0.62
hatari.csv,0.56,0.73,0.71,0.51,0.4,0.65,0.57,0.24,0.27,0.35,0.32,0.47,0.48
jcl.csv,0.64,0.59,0.58,0.43,0.71,0.6,0.71,0.6,0.5,0.47,0.59,0.61,0.56
ltp.csv,0.33,0.59,0.42,0.71,0.72,0.54,0.0,0.42,0.53,0.51,0.5,0.35,0.43
net-snmp.csv,0.65,0.57,0.41,0.46,0.37,0.35,0.94,0.24,0.6,0.52,0.31,0.35,0.64
opde.csv,0.0,0.44,0.0,0.6,0.0,0.6,0.94,0.0,0.64,0.0,0.44,0.43,0.59
powerfolder-.csv,0.6,0.64,0.45,0.39,0.17,0.28,0.89,0.2,0.69,0.31,0.71,0.53,0.53
qlc.csv,0.0,0.65,0.0,0.55,0.54,0.6,0.92,0.0,0.78,0.25,0.6,0.0,0.41
tcl.csv,0.48,0.41,0.29,0.17,0.57,0.43,0.43,0.0,0.56,0.71,0.0,0.28,0.54
wxstudio.csv,0.59,0.19,0.38,0.42,0.35,0.45,0.0,0.46,0.13,0.48,0.0,0.55,0.69
