,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.67,0.83,0.6,1.0,0.62,0.16,0.67,0.56,0.25,0.55,0.71,0.63,0.64,0.7,0.91,0.83,0.72
dynalloy.csv,0.33,0.72,0.83,0.44,0.0,1.0,0.71,0.62,0.75,0.91,0.55,0.75,0.77,0.55,0.41,0.66,0.74
enzo.csv,1.0,0.9,0.79,1.0,1.0,0.16,0.87,0.75,0.41,0.73,0.69,0.82,0.95,0.84,0.95,0.98,0.79
hydrogen.csv,0.83,1.0,1.0,1.0,1.0,0.0,0.98,0.88,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.77,0.63
jcae.csv,0.0,0.38,0.17,0.78,0.06,0.21,0.4,0.56,0.0,0.18,0.36,0.01,0.45,0.73,0.86,0.34,0.0
kmatplot.csv,0.17,0.76,0.31,0.89,0.75,0.89,0.29,0.56,0.09,0.0,0.76,0.0,0.91,0.41,1.0,0.17,0.47
lphant.csv,0.83,0.62,0.73,1.0,0.69,0.11,0.81,0.75,0.22,0.36,0.74,0.5,0.68,0.84,0.95,0.72,0.72
natpad.csv,0.42,0.79,0.87,0.56,0.44,0.74,0.62,0.69,0.31,0.45,0.74,0.51,0.32,0.18,0.91,0.6,0.79
nosleepsoftware.csv,0.5,0.07,0.0,0.0,0.69,0.0,0.08,0.0,0.03,0.0,0.0,0.1,0.09,0.2,0.27,0.23,0.07
ossbuild.csv,0.08,0.76,0.62,0.44,0.0,0.26,0.73,0.94,0.75,0.73,0.45,0.14,0.77,0.91,0.77,0.26,0.26
quarkplayer.csv,0.33,0.41,0.17,0.33,0.0,0.68,0.16,0.12,0.47,0.73,0.33,0.48,0.09,0.25,0.0,0.13,0.44
quickfast.csv,0.75,0.69,0.48,1.0,0.75,0.21,0.44,0.81,0.53,0.73,0.5,0.99,1.0,0.89,0.68,0.79,0.77
rezilla.csv,0.5,0.48,0.15,0.56,1.0,0.68,0.13,0.5,0.16,0.0,0.76,0.01,0.14,0.36,0.95,0.62,0.14
rhex.csv,0.83,0.38,0.21,0.33,0.69,0.16,0.24,0.56,0.03,0.18,0.31,0.53,0.05,0.27,0.55,0.49,0.44
rocrail.csv,0.58,0.76,0.71,0.67,0.62,0.26,0.3,0.69,0.25,0.45,0.74,0.35,0.77,0.5,0.86,0.3,0.74
virtuoso.csv,1.0,0.86,1.0,1.0,1.0,1.0,0.97,1.0,0.22,0.91,0.57,1.0,1.0,0.91,1.0,0.51,0.44
yield.csv,0.58,0.86,0.98,1.0,0.69,0.21,0.75,0.88,0.41,0.91,0.86,0.75,0.95,0.77,0.95,0.85,0.84
