,rhex.csv,kmatplot.csv,dynalloy.csv,jcae.csv,nosleepsoftware.csv,rezilla.csv,yield.csv,hydrogen.csv,ossbuild.csv,quarkplayer.csv,virtuoso.csv,enzo.csv,lphant.csv,autowikibrowser.csv,rocrail.csv,quickfast.csv,natpad.csv
autowikibrowser.csv,0.41,0.4,0.34,0.28,0.32,0.83,0.38,0.45,0.31,0.39,0.33,0.33,0.36,0.38,0.31,0.32,0.33
dynalloy.csv,0.67,0.44,0.71,0.46,0.71,0.36,0.59,0.61,0.65,0.55,0.58,0.48,0.39,0.58,0.77,0.52,0.53
enzo.csv,0.39,0.42,0.36,0.29,0.39,0.88,0.44,0.52,0.34,0.38,0.33,0.34,0.37,0.4,0.42,0.34,0.4
hydrogen.csv,0.49,0.36,0.39,0.3,0.43,0.0,0.43,0.5,0.42,0.4,0.39,0.43,0.35,0.38,0.42,0.39,0.4
jcae.csv,0.8,0.58,0.77,0.65,0.6,0.82,0.62,0.62,0.0,0.73,0.96,0.0,0.7,0.42,0.35,0.65,0.0
kmatplot.csv,0.8,0.52,0.57,0.4,0.4,0.46,0.71,0.54,0.96,0.5,0.39,0.0,0.34,0.51,0.41,0.9,0.52
lphant.csv,0.38,0.46,0.38,0.28,0.32,0.67,0.41,0.49,0.34,0.44,0.32,0.37,0.39,0.38,0.33,0.33,0.32
natpad.csv,0.74,0.54,0.43,0.42,0.46,0.42,0.49,0.61,0.39,0.51,0.35,0.59,0.89,0.92,0.45,0.39,0.36
nosleepsoftware.csv,0.88,0.75,0.67,0.0,0.57,0.0,0.94,0.0,0.0,0.8,0.0,0.91,0.67,0.95,0.7,0.91,0.92
ossbuild.csv,0.93,0.49,0.64,0.9,0.81,0.83,0.47,0.59,0.99,0.56,0.88,0.94,0.37,0.38,0.48,0.82,0.86
quarkplayer.csv,0.94,0.72,0.89,0.62,0.92,0.49,0.94,0.94,0.57,0.93,0.65,0.66,0.89,0.94,0.67,0.94,0.62
quickfast.csv,0.45,0.48,0.45,0.31,0.41,0.86,0.58,0.53,0.37,0.46,0.5,0.42,0.36,0.39,0.48,0.36,0.42
rezilla.csv,0.56,0.61,0.59,0.53,0.49,0.62,0.96,0.64,0.68,0.72,0.47,0.0,0.92,0.69,0.43,0.48,0.93
rhex.csv,0.48,0.61,0.97,0.57,0.45,0.8,0.81,0.58,0.96,0.52,0.46,0.47,0.0,0.8,0.38,0.45,0.5
rocrail.csv,0.54,0.45,0.43,0.33,0.37,0.86,0.63,0.56,0.35,0.49,0.34,0.62,0.36,0.61,0.41,0.65,0.34
virtuoso.csv,0.4,0.42,0.39,0.3,0.43,0.36,0.45,0.51,0.47,0.43,0.5,0.43,0.35,0.4,0.42,0.42,0.46
yield.csv,0.42,0.42,0.46,0.3,0.37,0.88,0.48,0.54,0.39,0.4,0.33,0.36,0.33,0.39,0.37,0.34,0.35
