,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.25,0.53,0.66,0.25,0.4,0.25,0.4,0.5,0.8,1.0,0.7,0.36,0.38,0.33,0.79,0.68,0.73
all-plasm.csv,0.07,0.8,0.45,0.75,1.0,0.61,0.52,0.21,0.18,0.83,0.3,0.64,0.12,0.71,0.48,0.41,0.7
applet2app.csv,0.73,0.57,0.76,0.75,0.8,0.69,0.62,0.71,0.62,1.0,0.43,0.43,0.44,0.9,0.81,0.66,0.58
autat.csv,0.28,0.47,0.55,0.5,0.9,0.55,0.62,0.57,0.1,0.67,0.13,0.29,0.62,0.33,0.85,0.27,0.55
autowikibrowser.csv,0.56,0.73,0.72,0.25,0.1,0.44,0.74,0.86,0.87,1.0,0.43,0.57,0.81,0.86,0.86,0.68,0.69
gbif-providertoolkit.csv,0.45,0.17,0.62,1.0,0.9,0.44,0.38,0.57,0.25,0.5,0.0,0.64,0.38,0.24,0.63,0.59,0.69
htmlunit.csv,0.78,0.4,0.69,0.25,0.3,0.68,0.56,0.79,0.61,1.0,0.53,0.57,0.31,0.95,0.62,0.73,0.57
kmatplot.csv,0.39,1.0,0.76,0.75,0.9,0.28,0.76,0.5,0.6,1.0,0.1,0.0,0.44,0.62,0.95,0.55,0.9
mcore3d.csv,0.04,0.3,0.66,0.0,0.1,0.64,0.52,0.5,0.34,0.5,0.63,0.64,0.69,0.43,0.03,0.73,0.69
nh3d.csv,0.0,1.0,1.0,1.0,1.0,0.98,0.0,1.0,0.3,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
qgo.csv,0.89,0.87,0.86,0.75,0.2,0.72,0.71,0.79,0.94,1.0,0.8,0.93,0.81,0.67,0.92,0.98,0.9
qtwin.csv,0.01,0.6,0.21,0.25,0.0,0.02,0.53,0.07,0.18,1.0,0.1,0.07,0.12,0.29,0.15,0.02,0.4
reactos-mirror.csv,0.62,0.3,0.9,1.0,0.9,0.74,0.5,0.71,0.79,1.0,0.9,0.29,0.44,0.57,0.96,0.8,0.83
taokgame.csv,0.21,0.67,0.52,0.0,1.0,0.26,0.4,0.14,0.13,0.83,0.27,0.43,0.25,0.76,0.62,0.34,0.56
unbvision.csv,0.79,0.73,0.86,0.25,0.7,0.53,0.4,0.64,0.71,1.0,0.8,0.43,0.81,0.43,0.98,0.61,0.71
uwom.csv,0.34,0.77,0.72,0.75,1.0,0.74,0.69,0.71,0.39,0.33,0.13,0.14,0.44,0.38,0.87,0.89,0.85
wishmaster.csv,0.0,0.7,0.38,0.0,0.0,0.42,0.44,0.5,0.44,0.83,0.37,0.71,0.31,0.19,0.61,0.39,0.23
