,reactos-mirror.csv,qgo.csv,kmatplot.csv,nh3d.csv,taokgame.csv,mcore3d.csv,applet2app.csv,gbif-providertoolkit.csv,htmlunit.csv,qtwin.csv,unbvision.csv,wishmaster.csv,autat.csv,all-plasm.csv,acdk.csv,autowikibrowser.csv,uwom.csv
acdk.csv,0.29,0.56,0.67,0.28,0.43,0.29,0.45,0.55,0.73,0.93,0.67,0.4,0.42,0.37,0.79,0.68,0.72
all-plasm.csv,0.09,0.59,0.43,0.72,0.91,0.59,0.5,0.25,0.21,0.78,0.34,0.6,0.14,0.72,0.52,0.43,0.67
applet2app.csv,0.65,0.62,0.73,0.16,0.63,0.65,0.63,0.66,0.64,0.76,0.48,0.44,0.48,0.53,0.77,0.65,0.62
autat.csv,0.32,0.45,0.58,0.54,0.84,0.57,0.59,0.58,0.12,0.66,0.16,0.33,0.65,0.38,0.76,0.31,0.59
autowikibrowser.csv,0.55,0.7,0.72,0.28,0.12,0.47,0.66,0.5,0.7,0.88,0.46,0.56,0.68,0.26,0.78,0.69,0.68
gbif-providertoolkit.csv,0.48,0.2,0.59,0.82,0.84,0.46,0.42,0.6,0.29,0.44,0.0,0.58,0.42,0.28,0.66,0.57,0.67
htmlunit.csv,0.61,0.45,0.64,0.27,0.34,0.65,0.57,0.58,0.63,0.91,0.55,0.53,0.35,0.27,0.66,0.69,0.59
kmatplot.csv,0.44,0.56,0.76,0.05,0.58,0.32,0.59,0.53,0.62,0.79,0.12,0.0,0.47,0.56,0.58,0.56,0.79
mcore3d.csv,0.05,0.35,0.65,0.0,0.12,0.63,0.54,0.54,0.39,0.54,0.58,0.6,0.63,0.46,0.04,0.68,0.62
nh3d.csv,0.0,0.0,0.0,1.0,0.0,0.17,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qgo.csv,0.37,0.87,0.63,0.05,0.22,0.64,0.68,0.6,0.58,0.89,0.39,0.47,0.65,0.42,0.76,0.54,0.39
qtwin.csv,0.01,0.61,0.25,0.29,0.0,0.02,0.52,0.09,0.21,0.98,0.12,0.09,0.15,0.33,0.18,0.02,0.45
reactos-mirror.csv,0.64,0.34,0.73,0.0,0.17,0.61,0.53,0.64,0.7,0.36,0.73,0.32,0.48,0.47,0.46,0.69,0.64
taokgame.csv,0.25,0.63,0.56,0.0,0.98,0.3,0.43,0.17,0.16,0.83,0.31,0.47,0.29,0.77,0.67,0.38,0.61
unbvision.csv,0.64,0.56,0.67,0.26,0.19,0.53,0.44,0.64,0.67,0.41,0.78,0.45,0.6,0.42,0.21,0.61,0.69
uwom.csv,0.39,0.69,0.64,0.09,0.77,0.63,0.63,0.71,0.44,0.37,0.16,0.17,0.48,0.42,0.72,0.48,0.83
wishmaster.csv,0.0,0.64,0.42,0.0,0.0,0.46,0.47,0.54,0.49,0.78,0.41,0.72,0.35,0.22,0.63,0.44,0.27
