,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.53,0.64,0.99,0.78,0.74,0.55,0.66,0.49,0.64,0.66
pclasses.csv,0.93,0.18,0.0,0.96,0.11,0.0,0.23,0.05,0.02,0.23
pfaedit.csv,0.11,0.61,0.15,0.36,0.98,0.34,0.52,0.64,0.49,0.39
theresa.csv,0.0,0.05,0.0,1.0,0.02,0.0,0.06,0.0,0.0,0.02
thrust.csv,0.0,0.13,0.38,0.0,0.54,0.85,0.1,0.39,0.31,0.42
tktoolkit.csv,0.3,0.09,0.02,0.0,0.2,0.59,0.1,0.86,0.18,0.16
trinitycore.csv,0.31,0.41,0.0,0.7,0.58,0.0,0.1,0.05,0.94,0.01
tzod.csv,0.31,0.97,0.46,0.93,0.67,0.07,0.34,0.6,0.4,0.51
yaprm.csv,0.31,0.49,0.02,0.37,0.47,0.55,0.98,0.11,0.43,0.17
zemljanka.csv,0.0,0.09,0.0,0.0,0.0,0.24,0.0,0.05,0.0,1.0
