,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.72,0.57,0.03,0.58,0.56,0.57,0.69,0.83,0.64,0.54
pclasses.csv,0.09,0.86,1.0,0.16,0.91,1.0,0.82,0.96,0.98,0.81
pfaedit.csv,0.91,0.49,0.88,0.8,0.02,0.71,0.72,0.53,0.66,0.84
theresa.csv,1.0,0.96,1.0,0.02,0.98,1.0,0.95,1.0,1.0,0.98
thrust.csv,1.06,0.91,0.73,1.03,0.7,0.18,0.92,0.69,0.79,0.81
tktoolkit.csv,0.85,0.94,0.98,1.0,0.92,0.58,0.93,0.17,0.86,0.9
trinitycore.csv,0.73,0.69,1.0,0.38,0.58,1.0,0.93,0.96,0.07,0.99
tzod.csv,0.74,0.04,0.86,0.26,0.52,0.94,0.79,0.6,0.68,0.73
yaprm.csv,0.78,0.71,0.98,0.71,0.72,0.71,0.03,0.93,0.71,0.87
zemljanka.csv,1.0,0.98,1.0,1.0,1.0,0.94,1.0,0.99,1.0,0.0
