,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.55,0.46,0.03,0.58,0.54,0.32,0.68,0.73,0.57,0.44
pclasses.csv,0.0,0.12,0.0,0.16,0.06,0.02,0.11,0.02,0.03,0.11
pfaedit.csv,0.07,0.27,0.07,0.44,0.0,0.06,0.55,0.4,0.4,0.56
theresa.csv,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.01,0.01,0.0
thrust.csv,0.36,0.19,0.31,0.24,0.54,0.02,0.11,0.23,0.3,0.56
tktoolkit.csv,0.45,0.19,0.0,0.04,0.4,0.4,0.13,0.0,0.12,0.22
trinitycore.csv,0.09,0.27,0.0,0.18,0.4,0.02,0.13,0.01,0.0,0.0
tzod.csv,0.14,0.0,0.79,0.26,0.43,0.0,0.37,0.45,0.24,0.56
yaprm.csv,0.29,0.48,0.07,0.24,0.49,0.57,0.0,0.15,0.38,0.11
zemljanka.csv,1.0,0.98,1.0,1.0,1.0,0.94,1.0,0.99,1.0,0.0
