,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,0.55,0.67,1.0,1.0,0.87,0.53,0.89,0.61,0.73,0.69
pclasses.csv,0.91,0.15,0.0,1.0,0.09,0.0,0.19,0.04,0.02,0.19
pfaedit.csv,0.09,0.59,0.12,0.33,0.98,0.29,0.54,0.65,0.47,0.38
theresa.csv,0.0,0.04,0.0,1.0,0.02,0.0,0.05,0.0,0.0,0.02
thrust.csv,0.0,0.11,0.34,0.0,0.56,0.82,0.08,0.35,0.27,0.42
tktoolkit.csv,0.27,0.07,0.02,0.0,0.17,0.59,0.08,0.83,0.15,0.13
trinitycore.csv,0.27,0.37,0.0,0.67,0.57,0.0,0.08,0.04,0.93,0.01
tzod.csv,0.27,0.96,0.66,1.0,0.7,0.06,0.3,0.61,0.36,0.53
yaprm.csv,0.27,0.48,0.02,0.33,0.46,0.59,0.97,0.09,0.4,0.14
zemljanka.csv,1.0,0.93,0.98,1.0,1.0,1.0,1.0,0.96,1.0,1.0
