,pclasses.csv,tzod.csv,atlc.csv,theresa.csv,pfaedit.csv,thrust.csv,yaprm.csv,tktoolkit.csv,trinitycore.csv,zemljanka.csv
atlc.csv,9.0,1.0,0.0,28.0,5.0,0.0,3.0,11.0,6.0,0.0
pclasses.csv,0.0,1.0,69.0,7.0,0.0,63.0,0.0,0.0,5.0,0.0
pfaedit.csv,3.0,4.0,0.0,22.0,0.0,1.0,2.0,2.0,12.0,0.0
theresa.csv,66.0,0.0,69.0,1.0,0.0,63.0,0.0,177.0,223.0,0.0
thrust.csv,66.0,1.0,0.0,52.0,5.0,0.0,2.0,3.0,21.0,0.0
tktoolkit.csv,1.0,2.0,0.0,52.0,6.0,5.0,0.0,0.0,11.0,0.0
trinitycore.csv,0.0,1.0,69.0,8.0,4.0,63.0,0.0,0.0,0.0,0.0
tzod.csv,4.0,0.0,0.0,12.0,2.0,0.0,7.0,5.0,12.0,0.0
yaprm.csv,3.0,12.0,2.0,12.0,6.0,5.0,0.0,0.0,9.0,0.0
zemljanka.csv,1.0,14.0,0.0,49.0,1.0,1.0,0.0,3.0,14.0,0.0
