,gtad.csv,wgs-assembler.csv,nh3d.csv,kaffeine.csv,sarasvati.csv,blogentis.csv,m-m-m.csv,taokgame.csv,tokratan.csv,mvnforum.csv,myfaces.csv,ogrehg.csv,m-a-d-n-e-s-s.csv,lcfizvtop.csv,gusanos.csv,pydev.csv,mediaportal.csv,free-evolution.csv,pnotepad.csv,cme.csv
blogentis.csv,0.27,0.93,1.03,0.99,0.65,0.04,0.9,1.04,0.68,0.93,0.59,0.8,0.82,0.81,0.84,0.73,0.68,0.76,0.78,0.38
cme.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
free-evolution.csv,1.03,0.8,0.31,0.86,0.56,0.67,0.91,0.55,0.94,0.74,0.56,0.64,0.73,0.91,0.78,0.76,0.73,0.09,0.93,1.03
gtad.csv,0.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,0.96,0.99,1.0,0.91,1.0,1.0,0.98,1.0,0.96,1.0
gusanos.csv,0.51,0.81,0.85,0.42,0.51,0.48,0.82,0.84,0.65,0.76,0.62,0.63,0.59,0.9,0.03,0.62,0.64,0.7,0.49,0.69
kaffeine.csv,0.92,0.99,1.0,0.09,0.58,0.6,0.67,0.99,0.61,0.71,0.61,0.95,0.93,0.88,0.93,0.74,0.98,0.95,0.9,0.71
lcfizvtop.csv,0.56,0.79,1.12,0.69,0.68,0.54,0.92,0.61,0.63,1.0,0.61,0.7,0.79,0.09,0.69,0.6,0.62,0.72,0.6,0.56
m-a-d-n-e-s-s.csv,0.48,0.62,1.0,0.65,0.72,0.79,0.45,0.82,0.78,0.95,0.8,0.54,0.04,0.56,0.63,0.68,0.67,0.66,0.78,0.99
m-m-m.csv,0.61,0.72,0.83,0.6,0.61,0.8,0.02,0.93,0.71,0.57,0.94,0.75,0.54,0.84,0.44,0.71,0.67,0.71,0.62,1.07
mediaportal.csv,1.0,0.97,1.0,1.0,0.96,0.89,0.89,0.92,0.93,0.8,0.78,0.88,0.92,1.0,0.97,0.59,0.07,0.97,0.94,1.05
mvnforum.csv,1.0,0.7,0.88,1.04,0.65,0.85,0.96,0.68,0.82,0.11,0.79,0.91,0.88,0.98,0.91,0.97,0.87,0.86,0.84,1.01
myfaces.csv,0.68,0.79,0.87,0.59,1.0,0.85,0.94,1.02,0.99,0.87,0.17,0.82,0.8,0.76,0.74,0.93,0.71,0.94,0.8,0.65
nh3d.csv,1.0,1.0,0.0,0.92,0.82,0.96,1.0,0.5,0.8,1.0,0.84,0.89,0.96,1.0,0.99,0.86,0.84,0.91,0.88,1.0
ogrehg.csv,0.27,0.69,0.62,0.64,0.35,0.53,0.88,0.46,0.51,0.65,0.53,0.05,0.53,0.66,0.75,0.59,0.5,0.72,0.82,0.54
pnotepad.csv,0.83,0.92,1.0,0.41,0.7,0.88,0.61,0.94,0.68,0.84,0.81,0.75,0.78,0.59,0.94,0.75,0.9,0.64,0.02,0.88
pydev.csv,0.53,0.61,0.66,1.03,0.75,0.48,0.71,0.92,0.75,0.85,0.69,0.61,0.74,0.92,0.97,0.14,0.57,0.8,0.71,0.52
sarasvati.csv,1.0,0.7,1.0,1.13,0.27,0.96,1.0,0.8,1.0,0.89,0.98,0.99,0.95,0.87,0.8,0.97,0.94,0.87,0.99,1.0
taokgame.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.87,1.0,0.9,0.99,1.0,1.0,0.85,0.84,0.97,0.97,0.96,1.0
tokratan.csv,1.06,0.87,0.41,0.94,0.91,0.89,0.93,1.0,0.0,0.95,0.88,0.76,0.79,0.73,0.9,0.84,0.9,0.77,0.92,0.23
wgs-assembler.csv,1.0,0.1,0.56,0.84,0.57,0.72,0.98,0.84,0.85,0.99,0.69,0.79,0.73,0.92,0.65,0.8,0.66,0.7,0.71,0.66
