,plearn.csv,awemud.csv,tzod.csv,psrchive.csv,liferea.csv,kwave.csv,firebreath.csv,qcad2.csv,customwars.csv,irplus.csv,wxcode.csv,xinity.csv,xmoto.csv,gss.csv
awemud.csv,0.47,0.43,0.45,0.43,0.3,0.47,0.46,0.42,0.37,0.47,0.5,0.36,0.41,0.38
customwars.csv,0.96,0.92,0.88,0.75,0.67,0.84,0.96,0.94,0.93,0.79,0.94,0.65,0.76,0.61
firebreath.csv,0.59,0.56,0.58,0.61,0.55,0.72,0.61,0.52,0.44,0.51,0.68,0.36,0.54,0.46
gss.csv,0.39,0.39,0.34,0.38,0.33,0.4,0.43,0.47,0.35,0.36,0.4,0.27,0.43,0.39
irplus.csv,0.72,0.78,0.85,0.77,0.54,0.83,0.81,0.69,0.78,0.65,0.93,0.92,0.74,0.89
kwave.csv,0.78,0.65,0.9,0.72,0.34,0.94,0.96,0.74,0.51,0.55,0.83,0.56,0.62,0.67
liferea.csv,0.59,0.5,0.6,0.67,0.83,0.54,0.73,0.54,0.51,0.43,0.58,0.36,0.55,0.34
plearn.csv,0.73,0.65,0.51,0.59,0.7,0.51,0.68,0.7,0.79,0.58,0.56,0.5,0.54,0.44
psrchive.csv,0.94,0.95,0.8,0.93,0.83,0.86,0.9,0.8,0.72,0.67,0.88,0.45,0.91,0.85
qcad2.csv,0.81,0.7,0.93,0.95,0.45,0.94,0.93,0.62,0.58,0.57,0.95,0.45,0.69,0.76
tzod.csv,0.58,0.63,0.56,0.58,0.34,0.52,0.54,0.47,0.51,0.48,0.5,0.29,0.52,0.38
wxcode.csv,0.86,0.5,0.0,0.8,0.5,0.0,0.5,0.0,0.0,0.0,0.83,0.67,0.5,0.5
xinity.csv,0.49,0.95,0.36,0.88,0.31,0.79,0.7,0.71,0.63,0.47,0.52,0.42,0.89,0.46
xmoto.csv,0.52,0.49,0.37,0.4,0.44,0.54,0.51,0.57,0.37,0.5,0.49,0.31,0.59,0.41
