,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.44,0.38,0.48,0.56,0.71,0.39,0.53,0.58,0.38,0.49
ivatamasks.csv,0.32,0.41,0.31,0.35,0.4,0.37,0.36,0.39,0.38,0.39
orc.csv,0.75,0.41,0.59,0.59,0.89,0.38,0.55,0.69,0.6,0.54
plato.csv,0.35,0.39,0.31,0.46,0.49,0.49,0.42,0.56,0.4,0.47
rodin-b-sharp.csv,0.9,0.73,0.95,0.74,0.93,0.57,0.67,0.58,0.64,0.57
umber.csv,0.55,0.38,0.29,0.42,0.49,0.43,0.4,0.44,0.38,0.41
unicase.csv,0.47,0.39,0.3,0.43,0.61,0.43,0.43,0.52,0.42,0.44
uwom.csv,0.57,0.47,0.59,0.95,0.42,0.57,0.53,0.77,0.69,0.61
vienna-add-in.csv,0.49,0.65,0.39,0.54,0.61,0.7,0.75,0.5,0.75,0.84
wpdev.csv,0.34,0.39,0.29,0.43,0.42,0.42,0.38,0.42,0.39,0.43
