,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
ivatamasks.csv,9.0,0.0,80.0,0.0,0.0,0.0,3.0,8.0,0.0,26.0
orc.csv,73.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0
plato.csv,3.0,0.0,17.0,2.0,0.0,0.0,1.0,23.0,0.0,39.0
rodin-b-sharp.csv,0.0,0.0,1.0,1.0,0.0,0.0,1.0,16.0,0.0,39.0
umber.csv,0.0,0.0,16.0,1.0,0.0,0.0,1.0,20.0,0.0,41.0
unicase.csv,1.0,0.0,12.0,1.0,1.0,0.0,1.0,18.0,0.0,26.0
uwom.csv,2.0,0.0,3.0,0.0,0.0,0.0,12.0,21.0,0.0,4.0
vienna-add-in.csv,11.0,0.0,14.0,1.0,0.0,0.0,1.0,38.0,0.0,24.0
wpdev.csv,4.0,0.0,17.0,2.0,0.0,0.0,1.0,23.0,0.0,14.0
