,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.68,0.55,0.81,0.57,0.38,0.58,0.53,0.71,0.61,0.57
ivatamasks.csv,0.33,0.67,0.23,0.73,0.21,0.54,0.31,0.59,0.41,0.27
orc.csv,0.0,0.55,0.9,0.43,0.05,0.52,0.33,0.4,0.36,0.62
plato.csv,0.33,0.0,0.24,0.37,0.51,0.9,0.37,0.62,0.27,0.51
rodin-b-sharp.csv,0.58,0.0,0.55,0.4,0.17,0.46,0.84,0.44,0.43,0.36
umber.csv,0.9,0.0,0.17,0.49,0.51,0.0,0.44,0.34,0.61,0.23
unicase.csv,0.81,0.93,0.36,0.24,0.44,0.61,0.62,0.67,0.73,0.44
uwom.csv,0.18,0.55,0.64,0.17,0.39,0.5,0.29,0.25,0.32,0.82
vienna-add-in.csv,0.61,0.0,0.45,0.54,0.67,0.46,0.39,0.58,0.33,0.34
wpdev.csv,0.0,0.99,0.05,0.0,0.09,0.0,0.0,0.26,0.05,0.66
