,umber.csv,wpdev.csv,orc.csv,ivatamasks.csv,vienna-add-in.csv,plato.csv,rodin-b-sharp.csv,gwanted.csv,unicase.csv,uwom.csv
gwanted.csv,0.49,0.0,0.38,0.36,0.1,0.62,0.34,0.27,0.71,0.26
ivatamasks.csv,0.91,0.5,0.94,0.32,0.95,0.5,0.91,0.76,0.87,0.93
orc.csv,0.07,0.0,0.22,0.23,0.15,0.38,0.32,0.19,0.14,0.24
plato.csv,0.91,1.0,0.94,0.89,0.8,0.12,0.89,0.64,0.93,0.81
rodin-b-sharp.csv,0.0,1.0,0.1,0.51,0.07,0.5,0.14,0.64,0.14,0.69
umber.csv,0.05,1.0,0.96,0.83,0.78,1.0,0.86,0.9,0.43,0.94
unicase.csv,0.29,0.0,0.9,0.94,0.49,0.75,0.73,0.64,0.4,0.84
uwom.csv,0.58,0.0,0.28,0.11,0.51,0.38,0.52,0.24,0.21,0.26
vienna-add-in.csv,0.64,1.0,0.75,0.7,0.34,0.5,0.5,0.59,0.62,0.37
wpdev.csv,1.0,0.0,0.99,1.0,0.98,1.0,1.0,0.93,0.99,0.71
