,sauerbraten.csv,brlcad.csv,delphilhlplib.csv,fltk.csv,exordium.csv,gzigzag.csv,mptvseries.csv,toped.csv,ogre.csv,autat.csv,mimosa.csv,irrlicht.csv,qse.csv,truevision.csv,zoolib.csv,openfrag.csv,auber.csv,google-web-toolkit.csv,qdvdauthor.csv
auber.csv,0.34,0.7,0.62,0.42,0.53,0.41,0.41,0.35,0.54,0.45,0.36,0.51,0.52,0.43,0.98,0.45,0.47,0.43,0.39
autat.csv,0.33,0.99,0.89,0.49,0.64,0.57,0.56,0.38,0.95,0.68,0.5,0.63,0.56,0.86,0.99,0.68,0.58,0.59,0.48
brlcad.csv,0.32,0.6,0.58,0.92,0.83,0.79,0.83,0.82,0.93,0.58,0.0,0.86,0.9,0.75,0.93,0.92,0.71,0.83,0.9
delphilhlplib.csv,0.33,0.66,0.39,0.69,0.48,0.44,0.57,0.41,0.96,0.42,0.68,0.58,0.75,0.68,0.87,0.76,0.6,0.49,0.46
exordium.csv,0.31,0.86,0.49,0.6,0.61,0.41,0.47,0.38,0.95,0.56,0.53,0.59,0.67,0.77,0.64,0.68,0.57,0.47,0.46
fltk.csv,0.32,0.68,0.5,0.53,0.5,0.46,0.5,0.41,0.94,0.37,0.4,0.58,0.46,0.68,0.97,0.58,0.56,0.52,0.39
google-web-toolkit.csv,0.52,0.79,0.51,0.54,0.55,0.59,0.8,0.5,0.95,0.57,0.47,0.51,0.75,0.52,0.97,0.77,0.7,0.49,0.53
gzigzag.csv,0.32,0.99,0.56,0.53,0.53,0.5,0.86,0.38,0.96,0.67,0.79,0.66,0.67,0.64,0.97,0.57,0.63,0.57,0.64
irrlicht.csv,0.33,0.0,0.38,0.42,0.41,0.39,0.34,0.32,0.0,0.35,0.36,0.51,0.43,0.38,0.49,0.43,0.39,0.9,0.37
mimosa.csv,0.36,0.47,0.39,0.64,0.46,0.39,0.47,0.5,0.48,0.35,0.54,0.56,0.45,0.46,0.54,0.51,0.41,0.43,0.47
mptvseries.csv,0.34,0.41,0.67,0.54,0.5,0.73,0.48,0.42,0.94,0.78,0.41,0.57,0.47,0.81,0.97,0.73,0.53,0.74,0.41
ogre.csv,0.83,0.76,0.51,0.54,0.53,0.43,0.52,0.4,0.45,0.42,0.63,0.47,0.65,0.39,0.47,0.55,0.45,0.48,0.45
openfrag.csv,0.32,0.41,0.42,0.47,0.54,0.45,0.47,0.3,0.59,0.39,0.39,0.44,0.56,0.4,0.51,0.49,0.44,0.46,0.44
qdvdauthor.csv,0.74,0.5,0.66,0.51,0.5,0.65,0.49,0.47,0.8,0.42,0.6,0.62,0.43,0.71,0.96,0.55,0.52,0.71,0.47
qse.csv,0.36,0.91,0.53,0.45,0.55,0.42,0.55,0.34,0.8,0.65,0.45,0.53,0.52,0.36,0.62,0.56,0.51,0.52,0.48
sauerbraten.csv,0.37,0.63,0.53,0.42,0.49,0.42,0.35,0.35,0.44,0.35,0.4,0.52,0.43,0.41,0.56,0.45,0.45,0.42,0.38
toped.csv,0.36,0.63,0.53,0.51,0.49,0.42,0.43,0.4,0.66,0.46,0.37,0.6,0.44,0.94,0.93,0.64,0.59,0.49,0.5
truevision.csv,0.33,0.89,0.56,0.46,0.47,0.71,0.46,0.35,0.82,0.46,0.68,0.53,0.5,0.43,0.7,0.57,0.52,0.53,0.35
zoolib.csv,0.32,0.99,0.56,0.7,0.53,0.48,0.8,0.39,0.97,0.51,0.83,0.67,0.91,0.59,0.98,0.86,0.58,0.66,0.5
