,0
guineu.csv,8
campsoft.csv,10
gtad.csv,7
rhex.csv,9
owlib.csv,28
ktc.csv,28
jedit.csv,13
net-snmp.csv,4
encog-java.csv,37
umber.csv,7
jahshakafx.csv,33
jahshaka.csv,5
selenium.csv,11
paintown.csv,14
h2database.csv,41
x4x.csv,5
elmo.csv,7
jmoney.csv,6
google-collections.csv,8
baadengine.csv,62
raven-monitoring.csv,8
smbopensoft.csv,19
xharbour.csv,10
flylinkdc.csv,13
reactos-mirror.csv,87
qpe.csv,49
xbrlapi.csv,8
prelude.csv,5
neoengine.csv,29
atunes.csv,60
avifile.csv,1
lamp.csv,14
logicmail.csv,5
wgs-assembler.csv,10
plearn.csv,20
werx.csv,20
plog4u.csv,10
openwbem.csv,60
qgo.csv,6
jaql.csv,24
kmatplot.csv,15
pclasses.csv,6
agilitybook.csv,28
triplea.csv,5
raygina.csv,6
wpdev.csv,13
owfs.csv,6
olap-navigator.csv,8
pokeglobal.csv,6
nova.csv,5
sauerbraten.csv,3
graphmak.csv,7
jgameai.csv,8
gpsmid.csv,8
empyrean.csv,10
awemud.csv,10
crisscross.csv,12
re2c.csv,5
tzod.csv,7
octave.csv,12
adaptagrams.csv,4
open-media-library.csv,8
vdsf.csv,126
orc.csv,15
lazarus-ccr.csv,5
n2cms.csv,12
forester-atv.csv,6
mob-sen-plat.csv,5
nh3d.csv,35
amanda.csv,11
