,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.64,0.51,0.56,0.71,0.28,0.64,0.64,0.54,0.58,0.33,0.58,0.39,0.6,0.38,0.37,0.75
biodwh.csv,0.38,0.25,0.42,0.33,0.38,0.0,0.42,0.38,0.21,0.1,0.55,0.21,0.4,0.28,0.54,0.6
blue-c.csv,0.55,0.59,0.52,0.71,0.28,0.84,0.63,0.66,0.53,0.38,0.57,0.35,0.59,0.33,0.28,0.58
cities3d.csv,0.62,0.32,0.47,0.05,0.3,0.55,0.59,0.63,0.52,0.12,0.59,0.0,0.46,0.37,0.3,0.78
firebird.csv,0.59,0.6,0.56,0.71,0.2,0.65,0.56,0.61,0.65,0.58,0.56,0.36,0.57,0.37,0.28,0.79
jcache.csv,0.66,0.66,0.48,0.67,0.15,0.7,0.46,0.67,0.63,0.55,0.19,0.36,0.57,0.37,0.28,0.85
jparsec.csv,0.38,0.62,0.47,0.62,0.16,0.57,0.48,0.63,0.57,0.63,0.69,0.33,0.51,0.34,0.23,0.77
mscore.csv,0.57,0.65,0.58,0.7,0.25,0.79,0.67,0.71,0.65,0.66,0.51,0.41,0.51,0.36,0.27,0.6
nabu-library.csv,0.21,0.64,0.35,0.24,0.19,0.64,0.27,0.47,0.52,0.83,0.31,0.1,0.53,0.22,0.0,0.39
ns-3-dev-def-routing.csv,0.16,0.53,0.33,0.72,0.11,0.33,0.46,0.54,0.47,0.41,0.54,0.36,0.56,0.15,0.17,0.38
open-ms.csv,0.72,0.7,0.5,0.62,0.2,0.7,0.57,0.7,0.54,0.49,0.4,0.38,0.45,0.36,0.25,0.67
popeye-chess.csv,0.61,0.54,0.52,0.68,0.41,0.67,0.64,0.66,0.56,0.49,0.47,0.36,0.52,0.37,0.21,0.66
qgo.csv,0.87,0.64,0.57,0.56,0.17,0.66,0.57,0.75,0.63,0.69,0.52,0.31,0.51,0.37,0.3,0.8
webdriver.csv,0.64,0.65,0.5,0.69,0.25,0.73,0.71,0.63,0.51,0.42,0.48,0.39,0.54,0.36,0.2,0.67
xined.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.56,0.0,0.0,0.0,0.57
yafdotnet.csv,0.66,0.61,0.5,0.7,0.17,0.68,0.53,0.66,0.69,0.71,0.29,0.32,0.49,0.36,0.33,0.74
