,qgo.csv,firebird.csv,applet2app.csv,popeye-chess.csv,cities3d.csv,blue-c.csv,webdriver.csv,mscore.csv,yafdotnet.csv,nabu-library.csv,jparsec.csv,xined.csv,ns-3-dev-def-routing.csv,open-ms.csv,biodwh.csv,jcache.csv
applet2app.csv,0.5,0.63,0.5,0.39,0.41,0.53,0.56,0.61,0.53,1.02,0.89,0.64,0.5,0.57,0.47,0.36
biodwh.csv,0.75,0.85,0.66,0.8,0.6,1.0,0.7,0.76,0.87,0.95,0.81,0.82,0.7,0.72,0.27,0.52
blue-c.csv,0.77,0.63,0.82,0.61,0.43,0.23,0.89,0.5,0.62,0.9,1.0,0.86,0.58,0.74,0.62,0.98
cities3d.csv,0.73,0.8,0.72,0.97,0.42,0.82,0.66,0.52,0.59,1.12,0.66,1.0,0.65,0.75,0.6,0.31
firebird.csv,0.54,0.54,0.51,0.53,0.62,0.5,0.86,0.53,0.66,0.55,0.85,0.81,0.68,0.58,0.87,0.37
jcache.csv,0.54,0.67,0.62,0.43,0.88,0.88,0.69,0.52,0.59,0.6,0.89,0.59,0.78,0.71,0.64,0.21
jparsec.csv,0.75,0.74,0.62,0.82,0.83,1.03,0.77,0.94,0.87,0.5,0.37,0.61,0.94,0.86,0.79,0.3
mscore.csv,0.55,0.6,0.54,0.39,0.47,0.34,0.57,0.45,0.47,0.47,0.61,0.59,0.67,0.62,0.84,0.5
nabu-library.csv,0.88,0.62,0.74,0.86,0.7,0.5,0.95,0.71,0.67,0.26,0.81,0.93,0.57,0.84,1.02,0.74
ns-3-dev-def-routing.csv,0.91,0.63,0.76,0.42,0.87,0.8,0.81,0.63,0.72,0.97,0.74,0.84,0.53,0.89,0.79,0.94
open-ms.csv,0.43,0.67,0.59,0.52,0.6,0.44,0.56,0.57,0.56,0.64,0.7,0.55,0.68,0.59,0.67,0.45
popeye-chess.csv,0.52,0.61,0.56,0.41,0.45,0.47,0.64,0.48,0.53,0.65,0.63,0.56,0.6,0.59,0.74,0.46
qgo.csv,0.17,0.82,0.53,0.86,0.86,0.86,0.63,0.83,0.7,0.46,0.57,0.67,0.84,0.84,0.72,0.26
webdriver.csv,0.63,0.68,0.78,0.46,0.49,0.39,0.38,0.51,0.6,0.95,0.67,0.64,0.58,0.59,0.75,0.43
xined.csv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.91,0.32,1.0,1.0,1.0,0.82
yafdotnet.csv,0.54,0.58,0.64,0.4,0.79,0.53,0.62,0.51,0.38,0.4,0.8,0.65,0.65,0.71,0.57,0.34
